face_id,i,j,k,curl,mapped_node_mean_curl
242,34,3012,4431,0.00048089352577169965,0.002071956813177964
243,34,3012,4718,0.004475201938693999,0.0033544732558675495
244,35,2084,3359,0.0043142502177497,0.005598339279555703
245,35,2084,4550,0.004970450864832901,0.00434913211442971
246,35,2618,3646,0.0010611535958829992,0.007131961769737999
247,35,2618,3664,0.0058750572994404,0.0053414592679372555
248,35,3359,3646,0.011047554554366599,0.006936153710970745
249,35,3664,4550,0.0048145004155601,0.0038964440440440074
250,36,265,1576,0.0010408948278992007,0.0027744026400464607
251,36,265,2080,0.0026385711330992995,0.0033618424315879163
252,36,1576,3659,0.0024539413107605,0.0019621118445564724
253,36,2080,3415,0.0012210058471340004,0.002886405107337789
254,36,2817,3415,0.0025709772292472,0.0020832885430507836
255,36,2817,3659,2.7880845016300298e-05,0.0017464350718109222
256,37,895,1057,0.0017732178034516,0.002078921372593833
257,37,895,1226,0.0036324001328176,0.0024859948192332702
258,37,1057,2611,0.0022659166781271002,0.0021995057664868332
259,37,1226,3695,0.0048650520775057,0.002713165540567676
260,37,2472,2611,0.0005049393572318,0.002548667873583767
261,37,2472,3695,0.0005353518853688996,0.0026552542010251728
262,38,91,2370,0.0006514071255597999,0.0010296593489856833
263,38,91,2964,0.0012392357798059,0.001212924854393761
264,38,176,2771,0.00023277604697470025,0.0014257862510571866
265,38,176,2964,0.0018791499176481997,0.0015909068629312492
266,38,2370,2756,0.0014087424923802001,0.001048553329997061
267,38,2756,2771,7.968528416989998e-05,0.001066698223531076
268,39,1434,2711,0.0016993633755684,0.0015264714361034836
269,39,1434,4042,0.0013896015181242,0.0011326772856647945
270,39,1772,4037,0.0017771515488229,0.0013015994578201389
271,39,1772,4042,0.00014466114911240008,0.0010716768133766333
272,39,2099,2711,0.0046583974608814995,0.00192789305634781
273,39,2099,4037,0.0017072538234190996,0.0017640215503526267
274,40,353,2336,0.00030510315052079996,0.0003112498439528545
275,40,353,3000,2.2130041551099997e-05,0.0003313174494378016
276,40,771,2449,3.714669687940103e-05,0.0009110572750176939
277,40,771,2563,0.0017980729228554001,0.0009839804244631812
278,40,2336,2563,0.000229267885809,0.00047121166394911793
279,40,2449,3000,1.5373143363988382e-06,0.000418356119988578
280,41,449,3925,0.0039312811948545,0.004754061305754408
281,41,449,4889,0.0076714959353649005,0.004854712235399583
282,41,1022,3341,0.004074447899001799,0.004158060712996522
283,41,1022,3955,0.0005135619731959001,0.002637843172250329
284,41,3341,4889,0.0049429252946625,0.0057822992355038945
285,41,3925,3955,0.0008304469714814,0.004161430765112525
286,42,391,1280,0.0063860524601544,0.0027313025580675324
287,42,391,4634,0.005046330314861735,0.0024966475995521456
288,42,627,1280,0.002298593198821801,0.003121217768822541
289,42,627,4492,0.0028748230112388,0.003625965083728191
290,42,1884,4492,0.0046027186659267,0.00314920027507228
291,42,1884,4634,0.0016997982173188994,0.0024097980016512433
292,43,814,2586,0.0033499144334631996,0.004800756118076694
293,43,814,3353,0.0026371841343677,0.004148872821428545
294,43,1758,2064,0.010264644003321399,0.006704255197645473
295,43,1758,2586,0.0073701283588533005,0.006003825113332161
296,43,2064,2766,0.006281049634892499,0.006031829399270478
297,43,2766,3353,0.004936678909901712,0.004679516018309018
298,44,847,3990,0.0009448488632463416,0.0013052740403323828
299,44,847,4883,0.0004236969937090416,0.0012235413320960396
300,44,880,1802,0.0035450001984487006,0.0014691557954925494
301,44,880,2230,0.0004437852431408,0.0013554868437727272
302,44,1802,3990,0.0009906168274897002,0.001359127328201356
303,44,2230,4883,0.0009746648152441999,0.0011637256682451903
304,45,410,4608,0.0012927966311618005,0.003448940920963863
305,45,410,4798,0.00551707366603,0.002980541415362556
306,45,1166,4550,0.005761803539284769,0.0027633932834071413
307,45,1166,4562,0.0008794618192194993,0.0035277856977363616
308,45,4550,4798,0.0003923032723449689,0.00262455000304508
309,45,4562,4608,0.0038260573437804996,0.0038573419229756076
310,46,800,3208,0.00033522614518130024,0.002769112511057222
311,46,800,3780,0.0021049558513019997,0.003687295250765861
312,46,2807,3208,0.0009890360167193,0.003372327372114155
313,46,2807,3459,0.0077017165633403994,0.005085520775310227
314,46,3459,4533,0.0015321778713816999,0.0030028961106324885
315,46,3780,4533,0.0004256993557343997,0.0022078854471450555
316,47,1385,2292,0.0012712844049151996,0.0018868708717572878
317,47,1385,4021,0.0011287254968510001,0.0014110371432032092
318,47,2292,3291,0.0039990767151575,0.002525116714835794
319,47,2292,3655,0.0039893059173396,0.0021418274252623932
320,47,3291,3655,0.0008115883377734001,0.0022584983742562703
321,47,3613,3655,0.0013300099490750003,0.0016273610538904304
322,47,3613,4021,0.0014899414810140995,0.0014181456659158754
