node,ks_value,coexact_energy,region
194,0.0013482108138668735,0.0047203621135256,other
195,-0.0012934702599220116,0.0020897819076333,other
196,-0.01713442193694486,0.0327120246376601,interface
197,-0.0014462085584027937,0.0058411630414032,tumor_core
198,0.47329833194910376,0.0985894223688833,interface
199,-0.0010829372735570912,0.0030104240808196,interface
200,0.0003674461669914838,0.022981795364594,other
201,0.00817508149169689,0.0093844936735686,other
202,-0.00040642562849724695,0.0120779595127413,other
203,-0.009027530380346515,0.0095304443603304,other
204,0.0009637643229379714,0.0013906135852551,other
205,-0.1174585281383218,0.0807593758023511,immune_core
206,-0.030879813165270917,0.0386009039988528,interface
207,-28.153656189618005,1.1519139265438465,interface
208,-0.07037257699980176,0.0122242098743149,interface
209,7.878284860285383e-06,9.161846975276654e-05,other
210,-0.007955468126969829,0.0190532695852868,interface
211,-0.647891761967172,0.0381455156473329,interface
212,0.1045775043902275,0.0549165947382086,interface
213,-3.0134166936610687e-05,0.0025299033068807,other
214,0.011586607337246929,0.0151832941532321,tumor_core
215,-0.0005513609396588462,0.0025705837600759,other
216,-0.02094215824911469,0.0123352899229188,interface
217,-0.005030016913179994,0.0270315097374831,immune_core
218,-0.0021515167368715196,0.0065985553570582,other
219,0.010484915903610439,0.0309027195450784,interface
220,17.520496472759746,0.7363638218683141,interface
221,0.01157437866129105,0.0068000048400006,interface
222,0.0034451427048749405,0.038180908128444,immune_core
223,-0.15458249480050062,0.1536700206486379,interface
224,-0.22333514691138587,0.0031257103633701,immune_core
225,0.011817940476827389,0.0309818828026423,interface
226,-3.1565890748207787e-06,0.0004339052905967,other
227,0.07348529444370083,0.0481955569494339,other
228,0.12146502078081968,0.1255563065893887,interface
229,0.027652214739030942,0.0127093202550841,other
230,0.09499518535878262,0.0274347473331323,interface
231,-0.15901618815284646,0.0738569628783917,interface
232,-0.027545775929183187,0.0179237831443058,other
233,-0.02419986531033328,0.1490445534078389,other
234,-0.5667820597959121,0.1688564908811852,interface
235,0.001737926379114906,0.0039058307391693,other
236,3.471419269365489,0.3588280390820395,interface
237,-0.00025660918670406007,0.003073202532807,other
238,0.0007442948471648623,0.0022257273539951,other
239,-0.02135447702312357,0.0049287000869658,other
240,-0.0004377749265311585,0.0021526584403017,other
241,0.00035086811568660515,0.0041517181777851,immune_core
242,-0.0014591686039040763,0.0198594826007097,other
243,0.0009688343969455049,0.001156753059864,other
244,0.03474914171479637,0.0418081684826221,interface
245,-0.006448720641696518,0.0042142406022942,other
246,-0.8580003813651942,0.0589388903210269,interface
247,0.00019266396127417819,0.0010383509392488,other
248,-0.03663042392661958,0.033332018218495,interface
249,-0.0004072135258814892,0.0032048219343376,other
250,0.0023226640956990896,0.0166884298077226,other
251,0.014910621349992263,0.0285679949391212,interface
252,4.251136362446397e-05,0.0001808893749119,other
253,-0.03755414814512571,0.1859681297664479,interface
254,0.02523113768122811,0.0167097228348323,tumor_core
255,0.0014697097284469495,0.0015469403623061,other
256,8.057232801859636e-05,0.0008010286054383,other
257,-5.001916468690526e-05,0.0015086971186825,other
258,0.0005778570209572622,0.001969770520432,other
259,-0.0009236857120594535,0.0101513255821869,interface
260,6.460360764937531,0.3880084276505242,interface
261,-0.0017819308686672945,0.0061984012298292,other
262,0.0031143728327189535,0.0090908111758008,other
263,4.3557437725432354e-05,0.0007595096726719,other
264,-0.004659046239686909,0.0337325894310263,interface
265,-0.004115911141468831,0.0115084317512607,tumor_core
266,-0.006199295533775158,0.0107956415571082,interface
267,0.005095911830791233,0.0098032096300119,tumor_core
268,17.844057580468828,1.3295188301687235,interface
269,-0.0009443198992546623,0.0071526544591517,other
270,7.701520767587317e-05,0.0001728016902359,other
271,0.2491770750113161,0.1016473377633871,interface
272,-1.534107301852658e-05,0.000767722995897,other
273,-0.07728900750819165,0.0136641854671968,other
274,0.28777607558983365,0.1210573244632404,interface
275,0.15929583343659234,0.0168571380670322,tumor_core
276,-0.004727594873715192,0.0008928898300511,other
277,-3.24866623906772e-05,0.0011737920341777,other
278,0.009518916374789868,0.0039924100319045,interface
279,-1.4207638891354848,0.0931924232428015,interface
280,-0.0009596576408217268,0.0091040766265243,immune_core
281,0.0014118305480327609,0.006171340937248,other
282,0.13001838484642592,0.0851309905298843,interface
283,0.00027950529604612,0.0018248829546354,other
284,0.0005533853299567314,0.001992735941986,other
285,-15.077013599221385,1.216606008808159,interface
286,2.1238309566515934e-05,0.0019765587559707,other
287,0.0025463614908670775,0.0062475192415931,interface
288,0.00498338282539381,0.0199469911004072,other
289,-0.00781090902398671,0.0483621026640678,interface
290,0.00044516856886636647,0.0023847772035502,other
291,21.64910445379956,0.8231243505142257,interface
292,0.2883684188199265,0.0582897918851748,interface
293,-1.4430064168057652,0.1365638669628427,interface
294,-0.30368318921335524,0.0233533452285063,interface
295,5.645495823908068,0.3794779513816904,interface
296,3.3703668603495836e-05,0.0004692117613143,other
297,0.5805015079820433,0.0803465924139131,interface
298,-0.001914300231796501,0.0069349411235588,other
299,-0.0002572975099730131,0.0052581763546239,other
300,0.0004667561145178356,0.0033090959544451,other
301,0.0086023817814529,0.0069509085479096,other
302,-0.055072343008830064,0.0061607727812304,other
303,-0.057600998438285256,0.1001220425868657,interface
304,-0.00014188660594134132,0.00351456291795,other
305,0.0038080616160436173,0.0124818165245237,other
306,0.0009683582972122478,0.0029268311972165,other
307,0.005542136196223202,0.0189778579922832,immune_core
308,-0.0043061100760173705,0.0132131802054249,other
309,0.3415647645996327,0.114528549339945,interface
310,-0.47222920439341326,0.0810237599865256,interface
311,2.3663718110203243e-05,0.0003197473581445,other
312,-0.019639805137920116,0.0232800427300189,other
313,-0.9873086849329455,0.2097956000725559,interface
314,8.525724389678626e-05,0.0003370013413687,other
315,-0.1462242771610806,0.05240056226815,interface
