fov,n_cells_raw,n_cells_clean,n_cell_dups_dropped,n_coord_dups_dropped,n_edges,n_faces,hodge_type,coexact_fraction_global,exact_fraction_global,harm_fraction_global,interface_vs_tumor_core_ratio,perm_p,n_interface,n_tumor_core
81,954,954,0,0,2832,1878,upper,0.36638078501517396,0.6334289584466832,0.00019025653812162238,0.42454990563390377,0.8831168831168831,277,5
82,1693,1693,0,0,5056,3363,upper,0.29597474745317515,0.7037643499150309,0.00026090263212662543,2.182294790382317,0.000999000999000999,355,97
83,1860,1860,0,0,5550,3690,upper,0.36861288138428433,0.6313156474449726,7.147117519465351e-05,1.2881030155853908,0.16583416583416583,494,26
84,1684,1684,0,0,5029,3345,upper,0.24611070244870828,0.753867131436783,2.2166114520762584e-05,0.9005123006114402,0.5964035964035964,394,52
85,1800,1800,0,0,5377,3577,upper,0.35585002024196405,0.6439441556707595,0.00020582408359654458,1.948598899113424,0.007992007992007992,485,35
86,1739,1739,0,0,5188,3449,upper,0.37967822107945365,0.6202806087252597,4.1170194624074785e-05,1.23018850054487,0.38961038961038963,517,15
87,1822,1822,0,0,5438,3616,upper,0.3453108840263702,0.6546880655762126,1.0503989586246334e-06,2.0634728736278425,0.001998001998001998,472,80
88,1401,1401,0,0,4178,2777,upper,0.2865031538796621,0.7134966695089064,1.7661136855750213e-07,1.5476483069152271,0.055944055944055944,312,40
89,1512,1512,0,0,4507,2995,upper,0.31280175815311817,0.6871981501932819,9.165388362103296e-08,1.9684148018808678,0.026973026973026972,431,16
90,1085,1085,0,0,3225,2140,upper,0.41945205649013706,0.5804071294284524,0.0001408140798994099,2.933326103897143,0.003996003996003996,324,15
91,416,416,0,0,1222,806,upper,0.6483173616723524,0.35164652704347493,3.611128442251031e-05,138.35222885920825,0.002997002997002997,95,7
92,692,692,0,0,2049,1357,upper,0.2574271934413664,0.7425507343940952,2.2072160936228545e-05,,,182,4
93,1332,1332,0,0,3976,2644,upper,0.3627951668823666,0.637141828335856,6.300471859955254e-05,2.0343754840132524,0.015984015984015984,381,26
94,2391,2391,0,0,7148,4757,upper,0.3319236265283488,0.6680316390953837,4.473437562043968e-05,3.0885457302348027,0.000999000999000999,581,150
95,1820,1820,0,0,5432,3612,upper,0.4135306243371279,0.586025794688168,0.0004435809689021461,0.6877461434492341,0.7132867132867133,592,6
96,1817,1817,0,0,5423,3606,upper,0.2603434956337614,0.7396489040283437,7.600333917272729e-06,1.062368574220186,0.3646353646353646,384,55
97,1442,1442,0,0,4303,2861,upper,0.26526772789082803,0.7347197811012326,1.2491007792371789e-05,0.8156736825810946,0.6723276723276723,383,15
98,1096,1096,0,0,3264,2168,upper,0.3785260629432677,0.6209565720130847,0.0005173650404580677,,,305,0
99,1642,1642,0,0,4904,3262,upper,0.29824349303053893,0.7011274498335065,0.0006290571364312379,0.7305186878299549,0.7892107892107892,428,22
100,1515,1515,0,0,4513,2998,upper,0.3263945291530077,0.6734740093563881,0.00013146148843670323,0.4253710436527321,1.0,397,58
101,1386,1386,0,0,4134,2748,upper,0.40420998730964053,0.5957346171939881,5.5395498357510086e-05,,,454,2
102,755,755,0,0,2244,1489,upper,0.5503201284257347,0.44967391330307216,5.958275056206745e-06,,,265,1
103,269,269,0,0,786,517,upper,0.6927760842437775,0.30670085065407776,0.0005230651021298687,,,53,1
104,1295,1295,0,0,3856,2561,upper,0.2256366681296553,0.774363019626188,3.122443247855234e-07,0.12410781935419152,1.0,286,125
105,1670,1670,0,0,4986,3316,upper,0.31404404513628537,0.6859496803747259,6.274488914255931e-06,4.497249954239039,0.000999000999000999,350,123
