node_id,x,y,region,tumor_score,immune_score,stroma_score,coexact_energy,exhaustion_score,state
110,7753.0,16376.0,other,0.5035241045270646,-0.1148794444969722,0.3172389711652482,4.051876971966077e-10,-0.0574397222484861,MIXED
111,8292.0,17604.0,stroma_enriched,0.1200869315011161,0.1016573429107666,2.4246996198381696,2.2065028919918668e-11,0.0508286714553833,STROMA
112,16276.0,6202.0,other,0.27993319102696,0.0067515434537614,0.1904931695120675,4.6825256641112935e-11,0.0033757717268807,MIXED
113,19221.0,6960.0,other,0.4041227340698242,-0.1599804093156542,0.8893614414760046,9.872172856890012e-11,-0.0799902046578271,STROMA
114,12277.0,9751.0,tumor_enriched,0.6116322871616907,0.085367043529238,0.2951568385532924,1.8982062826774934e-10,0.042683521764619,TUMOR
115,17099.0,12194.0,other,0.4596673148018974,-0.0377406658445085,0.4697300066266741,2.107201732347463e-11,-0.01887033292225425,MIXED
116,15225.0,11739.0,tumor_enriched,0.6577965000697545,0.1798053503036499,0.249357043675014,3.1468546346607595e-11,0.08990267515182496,TUMOR
117,7752.0,16068.0,other,0.4590910993303572,-0.0270940743173871,0.1136179324558803,1.9021433376877638e-10,-0.01354703715869355,MIXED
118,19234.0,10957.0,stroma_enriched,0.281408029283796,0.0489564163344247,1.9428348650251115,1.181180462075632e-10,0.02447820816721235,STROMA
119,19244.0,13723.0,stroma_enriched,0.2903130340576172,-0.110054360798427,1.8256533486502513,4.617235731435227e-11,-0.0550271803992135,STROMA
120,14691.0,11741.0,other,0.5458268301827567,-0.0890101987974984,0.0655321802411761,1.1442565745886574e-12,-0.0445050993987492,MIXED
121,13631.0,14819.0,tumor_enriched,0.5873599352155412,-0.03737841963768,0.2686803327287946,3.3554016808255368e-12,-0.01868920981884,MIXED
122,18723.0,17721.0,tumor_enriched,0.6663277871268136,-0.0401122317995343,-0.025372063773019,5.2672644963609555e-12,-0.02005611589976715,TUMOR
123,18677.0,4503.0,tumor_enriched,0.6094184112548828,0.0138003347601209,-0.0175279835292271,2.0579929447422103e-11,0.00690016738006045,TUMOR
124,18453.0,16954.0,tumor_enriched,0.7946378380911691,-0.0847006278378623,0.0291674477713448,7.0737892726314114e-12,-0.04235031391893115,TUMOR
125,14968.0,14660.0,other,0.3130701228550501,-0.0733781531878879,0.3787052045549666,2.4325132434328144e-11,-0.03668907659394395,MIXED
126,13364.0,14973.0,other,0.4791908754621232,-0.0263437392030443,0.4513380050659179,4.827590688664623e-12,-0.01317186960152215,MIXED
127,10149.0,13140.0,other,0.4476241629464286,-0.0872687443665095,0.3680284336635046,8.000254277854536e-12,-0.04363437218325475,MIXED
128,14697.0,13585.0,tumor_enriched,0.6241582761492048,0.0164673975535801,0.2831891250610351,3.99472626478562e-13,0.00823369877679005,TUMOR
129,17912.0,15419.0,other,0.4453731700352259,-0.0074444692475454,0.5320744105747767,2.6900172695632937e-11,-0.0037222346237727,MIXED
