i,j,flux_coexact
75,126,-2.3426621355927264e-05
75,407,-5.6435694821393906e-05
75,457,0.0001665644866207
75,492,-4.359818532534517e-05
76,127,-2.5010239030719103e-05
76,215,4.4490619505448045e-06
76,356,1.3635983337142587e-05
76,452,2.0594005195364063e-05
76,624,-1.3668811452332352e-05
77,177,-2.6840962992888455e-06
77,265,-2.5561070609203713e-07
77,363,1.1579525044745911e-05
77,683,-3.160400857967235e-05
77,826,1.3861833342042706e-05
78,267,6.531294145908486e-07
78,477,3.656725940579974e-06
78,551,-8.146295869081838e-07
79,337,-5.202171983129258e-06
79,374,9.904852358181342e-06
79,588,-1.378107510270179e-05
79,616,1.5483178347408647e-05
79,737,-1.303813462479656e-05
79,764,6.633351005037619e-06
80,172,-2.5081994611844775e-06
80,179,-3.2833345150782103e-06
80,354,-2.055154996227746e-07
80,357,5.11349332767155e-06
80,822,-2.0117898158534915e-06
81,104,-2.8569440387079763e-05
81,455,6.053922479307174e-05
81,707,1.6767208277855097e-05
81,708,-4.676725239404273e-05
81,815,-3.7543487525784584e-05
82,500,5.8633903734988145e-06
82,550,1.984876992524151e-06
82,693,-7.080584693961468e-06
82,782,-5.118461451546792e-06
82,845,3.775870546184835e-06
82,849,5.749082333004586e-07
83,116,-2.046526366372099e-05
83,304,1.3935649759793809e-05
83,338,6.94841621973831e-07
83,492,2.4050611124619583e-05
83,762,-2.91649195117585e-05
83,774,1.0949080669092267e-05
84,327,6.345028217982443e-06
84,332,1.3591434710145131e-05
84,548,2.287119249809516e-05
84,697,-2.5825685516238187e-05
84,733,-1.1309087127349318e-05
84,840,-5.67288278263523e-06
85,197,1.690294000261324e-06
85,358,-1.18055577848674e-05
85,496,2.7725030839972987e-06
85,673,-6.6863539031621266e-06
85,714,1.983097448443962e-06
85,719,1.2046017155326945e-05
86,278,3.2677359995023014e-05
86,371,1.0708822052326988e-05
86,404,-2.104416113578815e-05
86,510,-1.0584272225501653e-05
87,302,-5.631446695387237e-06
87,376,1.3054532626749266e-06
87,533,3.702041986424021e-06
87,608,1.6139316688260443e-06
87,651,-5.3707230239599825e-06
87,814,4.380742801422227e-06
88,92,7.1450995891934755e-06
88,528,2.988712419962615e-07
88,720,1.0210375262972196e-06
88,726,-2.4256224159917746e-06
88,773,-6.039385941495182e-06
89,312,6.333219452507106e-07
89,351,2.9097946463624335e-06
89,378,-9.088865557656451e-06
89,454,-9.724308207513692e-06
89,495,-1.9772040680275974e-06
90,132,-2.6845718524335548e-05
90,225,-9.366155464019416e-06
90,698,-4.7488254879616616e-05
90,752,-2.327710643856502e-05
90,835,-3.151926842775841e-05
91,146,8.594065077756619e-06
91,175,8.120245530077423e-06
91,350,-2.7402910252560097e-05
91,438,-6.1051933508086855e-06
91,575,3.5133285449711725e-06
91,719,1.3280464450563568e-05
92,528,3.545335617985347e-06
92,685,-1.466673448941162e-06
92,720,-6.02417838667288e-06
93,125,4.401978775057789e-06
93,308,-8.346286608847124e-05
93,371,-7.985206101752986e-07
93,585,5.715600488889103e-05
93,640,-1.0447918003992229e-05
93,813,3.3151321038689944e-05
94,114,1.2372656703988695e-05
94,115,1.106437956107902e-06
94,449,9.372254679933709e-06
94,553,-4.769495424016462e-06
94,763,-1.43163984965156e-05
95,149,-2.806955948174844e-05
95,205,5.462321048905766e-05
95,397,-0.0001034227687027
95,821,5.177170371709771e-05
96,173,-6.854650358550249e-05
96,347,7.514573186641754e-05
96,617,-1.822756568757156e-05
96,643,2.7369961440339477e-05
96,775,-8.75447332601951e-07
97,141,-3.394748950461499e-05
97,258,1.793870829379943e-05
97,601,5.162659702756688e-05
