i,j,flux_coexact
12,539,5.5927212312148055e-05
12,767,-3.843793759946501e-05
13,114,-2.323750121744181e-05
13,201,1.8568594311922912e-05
13,244,-8.858421732170832e-06
13,401,2.3412590334793997e-05
13,903,-7.778157257955799e-06
13,988,-2.10710443914847e-06
14,514,-3.0767273200733804e-05
14,678,-1.2626070253909106e-05
14,734,-2.2177482699219775e-05
14,945,-1.7215399363359538e-05
14,1045,8.278622551722222e-05
15,33,-1.1918595270303024e-05
15,256,0.0001690085171521
15,468,1.6856320085871114e-05
15,493,-6.307027225089913e-05
15,1001,-0.0001108759697167
16,174,2.2790325536822288e-05
16,496,4.809768384269686e-05
16,537,-3.728284643774146e-05
16,771,4.260836151102657e-05
16,835,-4.936257748107301e-05
16,917,-2.6850946971731257e-05
17,210,-9.171269677000536e-06
17,270,9.36945840479226e-06
17,497,-4.597380226017382e-06
17,557,1.0924829224477196e-05
17,683,-2.5856038881163688e-06
17,956,-3.9400338381351675e-06
18,157,-2.21733513050282e-05
18,235,-2.562447020478642e-05
18,355,1.9811817553143664e-05
18,369,-1.7987124643820712e-05
18,753,4.597312860049167e-05
19,193,9.4134841806545e-06
19,304,2.64205882261538e-05
19,542,1.8397266578564636e-05
19,845,7.619706299505369e-06
19,926,-7.113546390828709e-05
19,1028,9.28441862340878e-06
20,309,-2.5066019723701683e-05
20,310,1.6267201741633895e-05
20,645,1.0807533502182177e-05
20,730,-2.0087155201143887e-06
21,177,3.549061044630001e-05
21,248,-2.2877152130755724e-05
21,521,0.0002253691162851
21,696,-5.08151473004255e-05
21,887,-0.0001378385725768
21,1046,-4.9328854723408e-05
22,322,-7.684688199584928e-05
22,471,-3.41838104668151e-05
22,580,5.08224616836206e-05
22,770,0.0001761405600583
22,790,-8.189443357827071e-05
22,1003,-3.403789570106792e-05
23,436,-5.072515577008733e-05
23,466,-6.632744576545283e-05
23,560,-3.843766459685819e-05
23,624,7.080393282565024e-05
23,727,-3.286184787524245e-05
24,35,0.0002287533431756
24,347,0.0002530818013777
24,368,-1.4929443097495224e-05
24,946,-7.137671283523279e-05
24,998,-0.0002202802640738
24,1014,-0.0001752487245467
25,183,-2.0709360613383065e-05
25,434,-8.44442750846361e-06
25,526,-2.6757830666884457e-05
25,890,-2.598162612734001e-05
25,923,7.259877593650602e-05
25,959,9.294468979565112e-06
