node_id,x,y,region,tumor_score,immune_score,stroma_score,coexact_energy,region_original
38,11076.0,6138.0,other,-0.0141413279942104,-0.0466309997150331,0.6672238608677572,2.088427734471815e-09,other
39,12680.0,7532.0,other,0.6281758880615235,-0.0434682297467388,0.3660108812246204,1.6463066793386818e-10,other
40,13687.0,6958.0,tumor_core,0.772833355494908,-0.0700700243181209,0.414856326888643,2.5502306125439335e-12,tumor_core
41,5853.0,4730.0,other,0.1394202041625976,-0.0243625688712333,0.1150449689259808,1.1825463626964162e-10,other
42,15893.0,8701.0,tumor_core,0.6684701374598913,-0.0288843705527559,0.327251955509643,1.3327051407721304e-10,tumor_core
43,11878.0,6835.0,tumor_core,0.6981903076171875,-0.0288924628675582,0.6362500405608751,5.3702306178395134e-11,tumor_core
44,13674.0,10194.0,interface,0.4760865293230329,-0.000450968244004,0.7117186104691269,1.7894784190261223e-09,interface
45,7662.0,5084.0,other,0.240020751953125,-0.0590072682868676,0.3077118435619204,4.344968701948781e-12,other
46,10065.0,7637.0,stroma,0.2981191771371024,0.537753057320381,1.2957605497263307,2.631767403899815e-09,stroma
47,8663.0,6129.0,stroma,0.5020706558227539,0.1009931100351754,2.3679574178254956,1.0160664271093543e-10,stroma
48,11070.0,7756.0,other,0.034634301321847,-0.0421226080444744,0.6749343798921755,1.0165383626579258e-10,other
49,6854.0,6006.0,other,0.4521707098824638,-0.0797682861021928,0.2431097519820626,6.55373188339246e-12,other
50,7260.0,5083.0,stroma,0.2906193487984794,-0.0433879233522957,0.8192247900958258,7.191486019236194e-12,stroma
51,6051.0,5540.0,stroma,0.5619207382202148,-0.0670965124532131,0.7840990777898039,2.4932898275936063e-11,stroma
52,13880.0,9155.0,tumor_core,0.8777687617710658,-0.0278985967056009,0.2757068384413751,9.160704974479887e-12,tumor_core
53,12471.0,9496.0,other,0.341018785749163,-0.0458453762092717,0.6641104433931989,3.6715809622086124e-11,other
54,6853.0,6237.0,tumor_core,0.7180892617361886,-0.065245956880193,0.5277714381853434,6.139057305653106e-12,tumor_core
55,15493.0,8005.0,other,0.5713759340558733,-0.0453472169346634,0.3146151888290507,4.474558485117409e-11,other
56,12068.0,9494.0,stroma,0.4795599528721399,-0.0698543408243951,0.7888617437843624,9.5783115622522e-12,stroma
57,11273.0,7179.0,other,0.4662908281598772,-0.0866683526182653,-0.0685243775723421,3.1816578789028634e-11,other
58,12278.0,7299.0,other,0.580361725943429,-0.0637528154762293,-0.1129718862352526,1.3639491875725608e-10,other
59,11073.0,7063.0,other,0.4431824384416853,-0.0599105413940838,0.0596171239192739,4.087764564602213e-11,other
60,12074.0,8107.0,other,0.2930009678431921,-0.0606984294776533,-0.1208577887552468,1.814283763552304e-12,other
61,14493.0,6730.0,other,0.5089138466971261,0.0153253781655959,0.4366532510444736,4.6154295433637734e-11,other
62,11069.0,7988.0,stroma,0.2781547437395368,-0.0766101951981866,2.0793559183210335,1.9672030584306016e-10,stroma
63,7854.0,7281.0,other,0.5771444920131139,-0.0591783172709487,0.1356146703630485,3.8044369630818695e-11,other
64,11075.0,6369.0,immune,0.491471061706543,0.0708627405772639,-0.1085841091115774,4.67979378555958e-11,immune
65,12884.0,6724.0,tumor_core,0.6953805487496513,-0.0644028705099354,0.5197162363010308,2.0113697653217855e-11,tumor_core
66,13272.0,10192.0,stroma,0.1269160679408482,0.2343539752091054,1.4021293022031407,1.0216815152548434e-10,stroma
67,11272.0,7410.0,other,0.4703691591535295,-0.0612516945421097,-0.1268419487935813,4.949037992882831e-11,other
68,12470.0,9727.0,stroma,0.237208513532366,0.1412862698768692,1.4107835637985917,7.438339165819601e-11,stroma
69,13483.0,7766.0,stroma,0.5451178904942103,-0.0548330836471506,1.1638469330302137,2.9555687917182623e-11,stroma
70,11873.0,7991.0,other,0.4924059350149972,-0.0731140761869807,-0.0663511869662788,1.2392392236215882e-11,other
71,11882.0,5910.0,immune,0.2951280130658831,0.1244649987256646,-0.4171264527056613,2.3195938241657455e-10,immune
72,8258.0,6820.0,stroma,-0.0158842522757394,0.0779224329668542,0.7990541394124895,4.6259841278193536e-10,stroma
73,13678.0,9269.0,tumor_core,0.6789402444022042,0.0385843466057825,0.1552066318369324,3.9509693845741174e-11,tumor_core
74,9874.0,5209.0,interface,0.0251274980817522,0.158272503560602,0.6217433603932279,7.886858140382381e-10,interface
75,13874.0,10542.0,stroma,0.2800103950500489,0.0257799365000182,1.6337559444906615,2.276804520025352e-10,stroma
76,11877.0,7066.0,immune,0.1950744901384625,0.0640923675386403,0.0070163351005927,1.1516711301221983e-10,immune
77,14483.0,9042.0,other,0.4574331065586634,-0.0486727079818878,0.5397522346628248,2.202741318072488e-12,other
78,9468.0,6132.0,interface,0.1805837059020996,0.0426418822395761,0.6416302824523281,1.0284698258805524e-09,interface
79,12478.0,7646.0,other,0.3977052852085657,0.1276882298814014,0.4007628130889921,1.621320780053153e-09,other
80,11481.0,5446.0,other,0.470951816013881,-0.0456814303445975,0.4224117517699903,1.3937170185846735e-10,other
81,15887.0,10087.0,other,-0.1038357979910713,-0.0416332423487634,0.5901518663532553,1.0364002517045379e-10,other
82,7864.0,4738.0,stroma,0.2112696838378905,-0.0338421601515549,0.8064848825778393,4.383977300298397e-12,stroma
83,6647.0,7507.0,other,0.4069680622645788,-0.0758493608455594,0.4939674425902326,2.4007133815674373e-12,other
84,9472.0,4976.0,other,0.3833274895804268,-0.0737256078815779,0.5976566687754908,1.893787544710418e-11,other
85,10865.0,8565.0,other,0.3087129238673618,-0.0451646760155923,0.4965462506331738,4.5823993256434015e-10,other
86,12066.0,9956.0,stroma,0.0998199054173061,0.1632513610714654,1.827810505092544,9.835371380466462e-11,stroma
87,7863.0,5201.0,tumor_core,0.7787788936070033,-0.0317392062184005,0.2288925942615717,3.557468804677858e-11,tumor_core
88,14487.0,8117.0,stroma,0.6385692378452845,-0.0709294092695051,0.9518451708960968,5.790208187136025e-12,stroma
89,13685.0,7651.0,other,0.6145729500906808,-0.0666467928168765,0.4381557397851551,1.4114236352034775e-11,other
90,12670.0,9843.0,stroma,0.3325872203281946,0.0649326894693948,1.7357121089960903,7.827347967427641e-11,stroma
91,12075.0,7876.0,other,0.5562146377563476,-0.0588330807893172,0.254980429249779,4.276756771834075e-12,other
92,16296.0,8471.0,other,0.4356543023245675,-0.0518187711071409,0.341303465121773,1.3301779575596605e-10,other
93,10475.0,5558.0,other,0.5506554085867745,-0.0480335675753079,0.4768780436748968,1.5823487151069016e-12,other
94,10462.0,8794.0,other,0.4923764147077287,-0.0564223133201981,0.3902751661101329,3.825805157793882e-11,other
95,16486.0,11130.0,stroma,0.4435263170514788,0.3694030209927256,2.588396942855528,1.2416849093402434e-10,stroma
96,14277.0,10312.0,stroma,0.210355622427804,0.2948405255242733,1.7750219233541225,4.2101465221568364e-09,stroma
97,14291.0,6845.0,stroma,0.5185082789829798,0.0146232210722655,0.7536035630984138,2.1536983297626514e-12,stroma
98,8669.0,4742.0,stroma,0.4100069699968611,-0.0370687210440237,1.1542815851228003,1.0765521481886991e-12,stroma
99,13680.0,8807.0,other,0.4616759327479772,-0.0641150586182457,0.1064906769493739,1.5498961902214e-11,other
100,11871.0,8684.0,stroma,0.4662361689976282,-0.0694207475336897,0.946011236964342,1.8581664829571284e-11,stroma
101,9461.0,7750.0,other,0.135537507193429,-0.0777269892867991,0.7294488680099824,8.828890548874393e-10,other
102,10668.0,7755.0,stroma,0.1689761516026088,0.0686598477953652,1.1932174457685374,4.409731224789475e-11,stroma
103,11676.0,7181.0,other,0.5549453353881836,-0.0463313259009932,0.5079494793600227,2.4860010768570625e-11,other
104,8254.0,7745.0,other,0.4248390742710657,-0.0683913278739189,0.3888572544745265,4.89955736854363e-10,other
