i,j,flux_wedge,abs_flux,region_i,region_j,flux_exact,flux_coexact
12,1402,0.1062804846560985,0.1062804846560985,interface,interface,-0.018029510078001854,0.12430999473410036
12,4360,0.1309710151250662,0.1309710151250662,interface,interface,0.18101909790863685,-0.05004808278357065
12,130,-0.1255374256103,0.1255374256103,interface,interface,-0.1815705101436907,0.056033084533390676
12,1260,-0.0663305641634516,0.0663305641634516,interface,interface,0.020499507831011732,-0.08683007199446333
12,2625,0.4120321158252047,0.4120321158252047,interface,interface,0.42244223213588844,-0.010410116310683726
13,1271,-0.0853931095631329,0.0853931095631329,other,other,-0.08680198517815446,0.0014088756150215653
13,771,-0.1880045356746071,0.1880045356746071,other,other,-0.20459543098847255,0.016590895313865456
13,1072,-0.0279224375940725,0.0279224375940725,other,other,-0.025742706909856417,-0.0021797306842160843
13,2596,-0.0853931095631329,0.0853931095631329,other,other,-0.08717447368906117,0.0017813641259282753
13,3891,-0.0414301243937301,0.0414301243937301,other,other,-0.040485375837084225,-0.0009447485566458774
13,2843,-0.0853931095631329,0.0853931095631329,other,other,-0.06873617608752822,-0.01665693347560468
14,731,-1.298485176233635,1.298485176233635,interface,interface,-1.2162210189263658,-0.0822641573072691
14,2935,-1.2622101052300092,1.2622101052300092,interface,interface,-1.1549361498757809,-0.10727395535422835
14,4124,-0.9296163527176896,0.9296163527176896,interface,interface,-1.1883327231205925,0.25871637040290285
14,3501,-1.2510130610433872,1.2510130610433872,interface,interface,-1.0821891754609587,-0.16882388558242845
14,1423,-0.5232270763035766,0.5232270763035766,interface,interface,-1.1433900760181672,0.6201629997145907
14,1522,-2.1395323269612194,2.1395323269612194,interface,interface,-1.6190135923188365,-0.520518734642383
15,1518,-0.1165342993723582,0.1165342993723582,other,other,-0.1060409559995486,-0.010493343372809591
15,2473,0.0549949099739434,0.0549949099739434,other,other,0.06270798639936831,-0.00771307642542491
15,388,-0.2177440580431944,0.2177440580431944,other,other,-0.20637306889162926,-0.011370989151565147
15,3956,-0.26312698429803,0.26312698429803,other,other,-0.23759289404460976,-0.02553409025342024
15,3916,-0.1531042011123243,0.1531042011123243,other,other,-0.32452043440843187,0.17141623329610756
15,2121,-0.2383795762158867,0.2383795762158867,other,other,-0.1220752604209831,-0.1163043157949036
16,1553,0.0191162192400647,0.0191162192400647,immune_core,interface,-0.04657258524955621,0.06568880448962092
16,1659,-0.0261932063719781,0.0261932063719781,immune_core,interface,0.02590157347841171,-0.05209477985038981
16,55,0.0050287465368078,0.0050287465368078,immune_core,other,0.16869010534682893,-0.16366135881002114
16,520,0.2724143373161829,0.2724143373161829,immune_core,other,0.28554002958687563,-0.013125692270692713
16,247,0.0676361498545307,0.0676361498545307,immune_core,interface,-0.04954466697165372,0.11718081682618442
16,2402,0.0324717959195225,0.0324717959195225,immune_core,interface,-0.013539833243933153,0.04601162916345565
17,4145,-0.2402340616151795,0.2402340616151795,other,other,-0.259880793778992,0.01964673216381249
17,845,-0.0958106182599467,0.0958106182599467,other,other,-0.06975788346877088,-0.026052734791175827
17,4334,0.0780830243284846,0.0780830243284846,other,other,-0.026515137859799864,0.10459816218828447
17,3564,-0.2822682670424564,0.2822682670424564,other,interface,-0.1805739538342348,-0.10169431320822159
17,1824,0.0541873194008436,0.0541873194008436,other,interface,-0.08761015723939192,0.1417974766402355
