face_id,i,j,k
1020,1729,542,268
1021,163,1749,1258
1022,2069,1749,163
1023,1749,2069,2156
1024,1310,1749,2156
1025,376,1353,2156
1026,1353,1310,2156
1027,1973,1883,1208
1028,1973,1101,1945
1029,1931,449,932
1030,449,1931,1815
1031,1221,2068,797
1032,1060,922,1705
1033,629,922,1164
1034,966,1311,1705
1035,1311,1060,1705
1036,1676,1924,268
1037,1924,1676,1374
1038,1373,2056,1705
1039,922,1373,1705
1040,1373,922,629
1041,1373,1924,2056
1042,1373,629,268
1043,1924,1373,268
1044,2056,1425,966
1045,616,1483,69
1046,449,1334,932
1047,2088,320,1544
1048,2013,2088,1228
1049,2088,2013,709
1050,320,2088,709
1051,1001,616,69
1052,616,1001,1505
1053,197,1390,350
1054,1390,197,1699
1055,1569,662,122
1056,662,350,122
1057,197,1750,1699
1058,1934,1075,122
1059,372,1075,1934
1060,1075,372,1675
1061,1075,1675,1651
1062,1569,1075,1651
1063,1075,1569,122
1064,101,372,1934
1065,1976,101,1174
1066,101,1976,1675
1067,372,101,1675
1068,903,925,1190
1069,1484,903,1190
1070,918,1817,37
1071,1962,918,37
1072,38,696,943
1073,1768,38,943
1074,38,1768,1254
1075,696,38,1599
1076,1599,38,1212
1077,38,1254,1212
1078,1380,1484,1190
1079,1380,1254,1484
1080,1254,1380,1212
1081,1380,352,1212
1082,623,1380,1190
1083,352,1380,623
1084,855,1195,943
1085,855,696,1174
1086,696,855,943
1087,1195,1330,1908
1088,305,1014,93
1089,1641,918,1962
1090,1014,1641,93
1091,918,1641,1014
1092,1956,666,574
1093,1950,1956,574
1094,1956,657,925
1095,666,1956,925
1096,657,1956,1489
1097,1956,1950,1489
1098,2030,1400,2129
1099,1400,2030,1314
1100,824,1938,366
1101,1615,824,366
1102,824,1615,1756
1103,824,2030,1938
1104,824,1756,1314
1105,2030,824,1314
1106,1441,1529,636
1107,1077,1441,636
1108,1441,1077,1155
1109,291,1433,1529
1110,1441,291,1529
1111,1433,1028,2012
1112,1028,2062,2012
1113,291,1028,1433
1114,1028,291,424
1115,2072,722,1733
1116,722,2072,1679
1117,1348,1230,1088
1118,428,313,1200
1119,313,428,1793
1120,796,484,212
1121,1273,1511,118
1122,652,682,436
1123,923,652,436
1124,682,36,797
1125,1846,36,212
1126,36,1846,797
1127,1015,2010,635
1128,1015,1874,2010
1129,2161,1015,635
1130,1874,1460,779
1131,484,724,1164
1132,724,1037,1164
1133,1037,724,1502
1134,724,1560,1502
1135,946,15,880
1136,1564,946,531
1137,1564,531,224
1138,512,1564,224
1139,1564,15,946
1140,1564,512,1836
1141,15,1564,1836
1142,1278,840,1620
1143,1278,1620,1881
1144,551,1278,1881
1145,1278,551,512
1146,1791,840,573
1147,1791,713,287
1148,1271,195,573
1149,840,1271,573
1150,195,1271,224
1151,1271,512,224
1152,1271,1278,512
1153,1278,1271,840
1154,1833,1961,344
1155,1961,1462,344
1156,1961,1833,880
1157,15,1961,880
1158,1462,1961,1836
1159,1961,15,1836
1160,1137,227,149
1161,227,1137,1356
1162,379,227,1356
1163,29,2014,944
1164,814,29,861
1165,29,814,2014
1166,496,1648,2049
1167,368,496,1810
1168,1648,496,368
1169,1165,2165,969
1170,2165,2094,969
1171,2094,2165,1810
1172,2165,1856,1810
1173,2021,379,1356
1174,1592,550,135
1175,539,83,2184
1176,1279,539,2184
1177,731,2202,2003
1178,2202,731,2133
1179,1897,1802,2120
1180,2202,1897,1382
1181,1802,1897,2133
1182,1897,2202,2133
1183,1759,695,1114
1184,695,1759,116
1185,695,116,491
1186,695,2117,1114
1187,1337,695,491
1188,695,1337,2117
1189,1617,2182,1944
1190,2182,1617,497
1191,563,2025,1907
1192,563,1907,1089
1193,2117,563,1089
1194,563,2117,2099
1195,1325,89,565
1196,1325,166,1022
1197,1665,1325,565
1198,166,1325,1665
1199,89,528,2099
1200,528,563,2099
1201,563,528,2025
1202,1325,528,89
1203,2025,528,1022
1204,528,1325,1022
1205,1754,2025,1022
1206,1754,1617,1944
1207,1235,1754,1022
1208,1617,1754,1235
1209,704,669,89
1210,89,669,565
1211,625,669,1744
1212,669,704,1744
1213,669,525,565
1214,669,625,525
1215,1166,1449,2067
1216,1449,1166,2035
1217,144,1449,2035
1218,2067,1449,1839
1219,1114,299,748
1220,299,1166,748
1221,299,1114,1089
1222,310,1763,1839
1223,1763,310,270
1224,1449,310,1839
1225,310,1449,144
1226,1446,603,1219
1227,603,1357,1825
1228,1533,201,2089
1229,201,500,2089
1230,1762,201,1533
1231,201,1762,11
1232,812,692,881
1233,787,812,881
1234,1787,812,1633
1235,692,812,1787
1236,1167,1137,489
1237,499,1167,489
1238,1167,499,861
1239,29,1167,861
1240,260,79,1960
1241,79,787,1960
1242,79,260,2162
1243,273,79,2162
1244,787,79,1223
1245,79,273,1223
1246,1926,1783,1991
1247,251,1783,1363
1248,997,1783,251
1249,1783,997,1991
1250,1534,66,988
1251,66,1534,507
1252,1534,717,507
1253,1721,1534,988
1254,1427,632,1652
1255,1427,1652,1495
1256,576,1427,1495
1257,632,1427,152
1258,1895,991,1830
1259,991,1895,688
1260,991,632,1830
1261,991,234,632
1262,991,688,1242
1263,234,991,1242
1264,185,1895,1227
1265,185,1227,818
1266,185,438,292
1267,1895,185,292
1268,581,997,251
1269,1873,581,251
1270,997,581,818
1271,581,185,818
1272,581,1873,438
1273,185,581,438
1274,1959,1175,1714
1275,1175,1959,1509
1276,1959,719,1509
1277,1959,1541,719
1278,168,1047,1714
1279,1047,1959,1714
1280,1047,656,1541
1281,1959,1047,1541
1282,1456,1111,1685
1283,1111,168,1685
1284,1111,1456,402
1285,656,1111,402
1286,1047,1111,656
1287,1111,1047,168
1288,2176,24,1828
1289,164,2201,1746
1290,2201,164,215
1291,1746,209,2052
