face_id,i,j,k,x_centroid,y_centroid,curl_total_abs,curl_coexact_abs
27,1267,2109,563,17099.666666666668,13031.666666666666,1.722051160806111e-06,1.7220668008519812e-06
28,977,2016,1247,16968.0,12260.666666666666,0.0002579949505454053,0.00025799478601398984
29,1282,977,1247,16900.666666666668,12376.333333333334,0.0002955195701005855,0.0002955195381102546
30,1742,1267,1828,16764.333333333332,13069.333333333334,0.00024367103556160823,0.00024367102079801028
31,1267,1742,2109,16898.666666666668,12992.666666666666,0.0003216541256173775,0.00032165403974173973
32,1600,977,1282,16766.333333333332,12375.666666666666,7.351679889969995e-05,7.351675360585288e-05
33,691,585,1864,6517.0,10152.333333333334,0.00021433842047016363,0.0002143382309672371
34,585,691,439,6651.0,10152.666666666666,0.0001345262219404068,0.000134526331934174
35,1509,1102,1864,6649.666666666667,10692.0,4.797140276494639e-06,4.797160318439488e-06
36,585,1509,1864,6516.666666666667,10306.333333333334,1.7616155240089083e-05,1.7616067041119647e-05
37,1996,2017,308,8387.0,12700.0,8.472036785381117e-06,8.471934267367673e-06
38,1436,408,1962,11930.0,16215.333333333334,0.00016631309052447498,0.00016631308312132145
39,1372,278,544,12801.0,16256.0,0.00020334136803368394,0.0002033414178525876
40,1106,1644,691,6517.666666666667,9921.333333333334,8.202476609195876e-05,8.20249612590774e-05
41,594,1928,193,11491.333333333334,4849.666666666667,0.0006187244399438136,0.0006187240730284053
42,1242,1341,372,11158.333333333334,4117.0,4.655156171569998e-05,4.6551643498026195e-05
43,2152,2161,372,11360.0,3924.6666666666665,0.00033026318388843667,0.0003302629519345593
44,2161,1242,372,11292.666666666666,4040.3333333333335,1.5865151914899983e-05,1.5865071467603128e-05
45,1242,2161,1547,11359.333333333334,4156.333333333333,0.0005779522117185989,0.0005779521234591928
46,1710,1928,594,11558.666666666666,4734.333333333333,0.00011361494503954868,0.00011361463512546469
47,1604,1710,594,11492.0,4618.666666666667,2.4570021519357324e-05,2.4570282610527825e-05
48,960,970,1301,8471.0,6343.666666666667,5.723167495612214e-05,5.7231559637314377e-05
49,1694,960,1301,8538.333333333334,6228.333333333333,0.00011870896834307423,0.00011870904612733946
50,970,1308,1301,8337.0,6343.333333333333,3.819875516486166e-05,3.819868274203053e-05
51,221,2018,1029,12554.333333333334,8319.333333333334,1.6275791488364984e-05,1.627610558949463e-05
52,2000,1432,1750,16179.0,6480.333333333333,1.2465481750523316e-06,1.2465462723159551e-06
53,1750,1432,535,16178.666666666666,6634.666666666667,4.86538729816653e-05,4.8653868967453e-05
54,1432,1842,535,16244.0,7212.666666666667,8.248531131398694e-06,8.248528904011496e-06
55,1395,1432,1160,16377.666666666666,7366.666666666667,1.433662905014136e-05,1.433664253197027e-05
56,1432,2000,1160,16179.333333333334,6326.0,1.962626710075894e-05,1.962626335128736e-05
57,2016,868,3,17169.333333333332,12145.666666666666,0.00016762261639211777,0.00016762252250860437
58,675,868,2016,17102.666666666668,12029.666666666666,0.00027151570245312134,0.0002715157132127737
59,3,868,1338,17304.0,11992.0,6.543872736781639e-05,6.54387696904229e-05
60,16,546,1237,15889.0,14646.333333333334,0.00015223895756687298,0.00015223881107337482
61,1635,518,318,15487.666666666666,14336.666666666666,4.278044580889999e-05,4.278022207697758e-05
62,743,1188,1601,16494.333333333332,13915.666666666666,0.0002491678731067,0.00024916781838942286
63,720,743,1601,16360.0,13992.333333333334,0.00013850014129448794,0.00013850022460866988
64,320,720,546,16091.666666666666,14068.666666666666,0.00014424749311208533,0.00014424712248502534
65,223,1267,1188,16696.333333333332,13492.666666666666,8.578023116854105e-05,8.57801728188937e-05
66,1177,945,1576,16767.666666666668,11913.333333333334,8.135473999691506e-05,8.135486269619387e-05
67,977,1177,2016,16901.0,12144.666666666666,0.000191820841528938,0.00019182063488525552
68,675,1177,1576,16901.666666666668,11913.666666666666,0.00025282690917366164,0.00025282669576872225
69,1177,675,2016,16968.333333333332,12029.333333333334,0.00010639746709777053,0.0001063975752345954
70,1015,1600,1282,16699.0,12491.333333333334,0.00014584204742109998,0.00014584201529236398
71,2159,585,439,6717.666666666667,10268.333333333334,2.6905848568753432e-05,2.6905907120172672e-05
72,1509,2159,1494,6717.0,10499.333333333334,0.00013553470495617252,0.0001355346390733922
73,2159,1509,585,6650.333333333333,10383.666666666666,3.144055610108781e-05,3.144051866494972e-05
74,557,689,308,8721.333333333334,12893.333333333334,5.803045985248714e-05,5.803039352671782e-05
75,2017,557,308,8588.0,12739.0,9.067279950365401e-05,9.067289085470674e-05
76,2030,1067,1717,11059.333333333334,15942.666666666666,7.508841011484647e-05,7.508840202178892e-05
77,1067,2030,2185,11126.666666666666,15827.333333333334,9.659297827170339e-05,9.659298039088748e-05
78,2035,2030,1717,10925.333333333334,15942.333333333334,0.00011443488552285682,0.00011443480541410589
79,2030,2035,1213,10858.666666666666,15826.666666666666,0.00028251352451990285,0.0002825133905353677
80,1325,1902,1213,10725.0,15595.333333333334,0.0002957618338190001,0.00029576156901900007
81,1372,832,278,12667.333333333334,16178.666666666666,0.00018504037418558722,0.00018504022002942952
82,1436,1264,408,11796.0,16138.0,0.00017802342452185265,0.00017802332226527143
83,1264,764,408,11930.333333333334,16061.333333333334,0.00014843971357982158,0.00014843957803639213
84,861,1349,1333,10540.0,9701.333333333334,0.0004339568141335804,0.00043395664026837477
85,1349,861,1302,10674.0,9701.666666666666,1.4015865006726885e-05,1.4015913450787768e-05
86,48,1009,1125,7324.0,9230.333333333334,5.990165257553459e-05,5.990154055746585e-05
87,159,1644,1931,6719.0,9806.333333333334,0.0006415398380181378,0.0006415396234286577
88,691,159,439,6718.333333333333,10037.333333333334,4.396046438925255e-05,4.396024793575749e-05
89,1644,159,691,6651.666666666667,9921.666666666666,0.00010526627570166791,0.00010526644934954579
90,1009,1083,1125,7256.666666666667,9345.666666666666,0.0002047694667945725,0.00020476954081586848
91,1083,925,1125,7122.333333333333,9345.333333333334,3.08620697306618e-05,3.0862215712006394e-05
92,925,1083,527,7055.0,9460.666666666666,3.87116727781618e-05,3.871144974212394e-05
93,1644,67,1931,6652.333333333333,9690.666666666666,0.0003110395318113765,0.0003110396322180268
94,1386,1759,1954,8668.666666666666,7615.666666666667,7.532150397942901e-06,7.532086697650654e-06
95,5,2152,872,11561.333333333334,3809.6666666666665,7.901043346243686e-06,7.901161242405486e-06
96,5,2161,2152,11494.0,3925.3333333333335,0.0004109306336634,0.00041093072715653453
97,1589,1242,1547,11292.0,4271.666666666667,8.224440975704788e-05,8.22444035594999e-05
98,1604,1589,1547,11358.666666666666,4387.333333333333,3.937715963079964e-05,3.937703549975141e-05
99,1242,1589,1341,11158.0,4271.333333333333,0.00016525733614280034,0.00016525736392298423
100,493,1236,530,12165.0,3696.0,8.769084469354319e-05,8.769073487616649e-05
101,582,1236,493,12097.666666666666,3811.6666666666665,1.6817041749303404e-05,1.681709636213987e-05
102,1236,872,530,11964.0,3656.6666666666665,0.0002002369579373364,0.0002002368096874108
103,892,1108,913,8870.666666666666,7269.666666666667,5.2675304398026025e-05,5.267522871153134e-05
104,892,1386,1954,8736.0,7500.333333333333,0.000100698315403309,0.00010069837269083944
105,1694,2064,960,8672.666666666666,6228.666666666667,7.756986869739917e-05,7.75699422165474e-05
106,1445,2155,646,7531.333333333333,6803.333333333333,7.469229723539459e-06,7.469252498941348e-06
107,1308,1156,1301,8270.333333333334,6227.666666666667,0.00028806232198750676,0.00028806225048437186
108,1207,1308,444,8069.0,6342.666666666667,6.820410139696462e-05,6.82040303060213e-05
109,1156,1207,791,8069.666666666667,6111.666666666667,6.357862225359279e-05,6.357856368011617e-05
110,1207,1156,1308,8136.333333333333,6227.333333333333,2.291435664425679e-05,2.2914416061934787e-05
111,441,970,1284,8336.333333333334,6574.333333333333,5.886166425033211e-05,5.8861744444679707e-05
112,441,1308,970,8269.666666666666,6458.666666666667,0.0002526322362305896,0.00025263210097670814
113,638,441,1284,8269.0,6689.666666666667,6.085953012711459e-05,6.0859437818358805e-05
114,1308,441,444,8135.666666666667,6458.333333333333,0.00010360449821314382,0.00010360449872534586
115,75,1445,646,7665.666666666667,6803.666666666667,4.737843250058533e-05,4.737842316079518e-05
116,90,75,646,7733.0,6688.333333333333,7.807906393151177e-05,7.807907004621127e-05
117,2067,395,1128,11355.333333333334,5542.666666666667,6.477146416578848e-05,6.477159869655885e-05
118,2147,2075,161,10886.666666666666,5425.666666666667,0.0006981698916078374,0.0006981695971405
119,2075,1328,161,10954.0,5310.333333333333,9.65389818045558e-05,9.653912613667613e-05
120,582,1107,61,12097.0,4042.6666666666665,1.151055858744399e-05,1.151046437877006e-05
121,1107,582,493,12164.333333333334,3927.3333333333335,3.044991427663344e-05,3.044989812005884e-05
122,2063,1107,493,12298.333333333334,3927.6666666666665,0.00038777448899110034,0.000387774358189
123,2032,1909,589,13504.666666666666,3930.6666666666665,0.00023402749807356778,0.00023402752086420438
124,2032,1185,1216,12969.0,3698.3333333333335,0.00047004565799271434,0.0004700454578397
125,270,2032,589,13370.666666666666,3930.3333333333335,0.00026795316132247234,0.000267953019646578
126,1092,1947,1976,10682.0,6696.666666666667,4.477667484137262e-06,4.477733699541543e-06
127,1947,1092,304,10749.333333333334,6581.333333333333,8.565294734043727e-05,8.565288910253887e-05
128,1357,2141,47,10482.666666666666,6118.333333333333,0.00010366642190528727,0.00010366624899210212
129,1940,1805,1202,9545.333333333334,5653.333333333333,0.00020750252270311222,0.00020750255770479593
130,372,198,1546,10756.666666666666,3961.6666666666665,4.094406667020043e-05,4.0943863617422005e-05
131,1341,198,372,11024.333333333334,4116.666666666667,0.00015293841616617274,0.00015293823249480786
132,1589,542,1341,11090.666666666666,4386.666666666667,0.00016828159105370034,0.00016828141804047246
133,355,368,834,9548.333333333334,4574.666666666667,4.59115862956418e-05,4.591147200064357e-05
134,891,541,1160,15847.333333333334,5131.0,0.0002047288767255409,0.00020472878252436174
135,1518,891,571,15779.666666666666,5400.333333333333,6.598900581339712e-06,6.59888500958334e-06
136,2000,891,1160,15980.666666666666,5362.333333333333,3.889456999990632e-05,3.889458995684742e-05
137,891,2000,571,15913.333333333334,5477.666666666667,1.4784494074840657e-05,1.4784502388546401e-05
138,487,1037,2037,13090.0,8552.333333333334,6.765970653581965e-05,6.765957756982471e-05
139,221,1415,2018,12487.666666666666,8203.666666666666,0.0006667482790658787,0.0006667479301326037
140,1645,1432,1395,16509.0,8368.666666666666,9.764405645223388e-05,9.764399330330532e-05
141,818,675,1576,16969.0,11798.333333333334,8.265540756679135e-05,8.265525101499689e-05
142,1680,868,675,17170.0,11914.333333333334,0.00014703493261571603,0.00014703483084144007
143,818,1680,675,17103.0,11798.666666666666,0.00012787485719449425,0.00012787492830169776
144,1680,818,2065,17170.333333333332,11683.333333333334,6.826520491883872e-05,6.826512204837007e-05
145,868,1680,1338,17304.333333333332,11837.666666666666,3.1673747694011556e-05,3.167367127287045e-05
146,1680,2065,1338,17304.666666666668,11683.666666666666,9.269411753378975e-05,9.269417102665928e-05
147,1430,945,618,16567.0,11797.333333333334,4.171739017945204e-05,4.171750900726999e-05
148,945,1430,1576,16701.0,11797.666666666666,6.757242225315675e-05,6.757229756175926e-05
149,1967,2059,1816,16839.333333333332,10257.333333333334,3.858928252863969e-05,3.858923728868449e-05
150,1745,232,1355,14881.666666666666,15375.666666666666,2.5124449107322944e-05,2.5124367561934704e-05
151,1745,1355,147,14680.333333333334,15413.666666666666,8.904385544545706e-06,8.9043180035937e-06
152,253,1760,1939,13405.0,16142.0,2.0602433725235134e-07,2.0602212605195808e-07
153,1719,758,1269,13539.666666666666,15834.333333333334,2.9241194323176806e-05,2.9241357895489856e-05
154,1760,1719,1939,13539.0,16065.333333333334,0.00014394007324262394,0.00014394010895250618
155,1719,1760,758,13472.333333333334,15949.666666666666,9.869291044021318e-05,9.869276263768966e-05
156,1049,253,1891,13137.0,16064.333333333334,6.80431794110843e-05,6.804308249394077e-05
157,1049,1760,253,13271.0,16064.666666666666,2.0033792990829796e-05,2.0033770878213913e-05
158,1760,1049,758,13338.333333333334,15949.333333333334,0.00015355744084889083,0.00015355729541628613
159,1330,1635,1443,15755.666666666666,14337.333333333334,0.00023823775319311126,0.0002382378223281025
160,546,1330,1443,15889.666666666666,14337.666666666666,0.00012956984424332806,0.0001295699215683715
161,16,1330,546,15889.333333333334,14492.0,1.4143124366380174e-05,1.4143211888240479e-05
162,79,518,1635,15554.333333333334,14452.666666666666,0.0003013563524264431,0.0003013560977122658
163,1330,79,1635,15688.333333333334,14453.0,0.0002231632679531288,0.00022316331914514756
164,79,1330,16,15755.0,14569.0,6.868709820671896e-05,6.868715109694224e-05
165,79,16,1237,15754.666666666666,14723.333333333334,3.553252555536493e-05,3.5532436911448506e-05
166,320,252,720,16159.0,13876.333333333334,0.0003285573044950221,0.0003285569683248865
167,252,743,720,16293.0,13876.666666666666,1.598864391987899e-06,1.5987273566698965e-06
168,1556,397,1443,15756.333333333334,14106.333333333334,0.0005889692078528298,0.0005889688311150809
169,397,546,1443,15890.333333333334,14183.666666666666,0.00016473698730220003,0.0001647371921903
170,397,320,546,15957.666666666666,14068.333333333334,4.826858735937299e-05,4.8268262020226594e-05
171,181,100,1828,16496.333333333332,13068.666666666666,0.00024310334936249997,0.00024310346428505153
172,1659,100,181,16362.333333333334,13068.333333333334,0.0003609243528289363,0.00036092405557431575
173,223,986,113,16495.0,13530.666666666666,0.00014868507280631506,0.0001486851030134656
174,113,986,857,16361.0,13530.333333333334,0.00026317732370097435,0.0002631771849848193
175,743,986,1188,16494.666666666668,13761.666666666666,0.00012573407209893664,0.00012573400241115001
176,986,223,1188,16562.0,13646.333333333334,7.47741230416154e-05,7.477410440661257e-05
177,986,252,857,16293.666666666666,13645.666666666666,0.00014584008261921532,0.00014584010803816788
