mean_curl,median_curl,top95_mean_curl,top99_mean_curl,edge_hotspot_top95_interface_like,replicate
0.00018577187798523266,0.0001118801646207665,0.0008492288994229369,0.0012525957708117653,0.0005072131426450289,80
0.0001858955017305595,0.00011166130857105268,0.0008499755625384259,0.0012522594070895699,0.0005099005668536165,81
0.00018575574524696913,0.00011242265579061605,0.0008482481490390446,0.0012490185885099148,0.0005077700356622343,82
0.00018580944536716486,0.00011135341977188011,0.0008479151253775362,0.0012482225770111487,0.0005066475290801231,83
0.00018567513636292779,0.000112096104213172,0.0008464409267229403,0.0012459145521698588,0.0005077132574100554,84
0.00018576218787761328,0.0001118819176864489,0.00084835635264555,0.0012498847731733838,0.0005061393793404703,85
0.0001857817695123634,0.00011136124210522647,0.0008477750462780445,0.0012479113803699632,0.0005080055783397135,86
0.00018581551045778304,0.00011191953927911537,0.0008477855657624875,0.0012478013535581602,0.0005068490959746673,87
0.00018570767236476254,0.00011254508381406837,0.0008473593867633416,0.001245779722546146,0.0005074627904636168,88
0.00018584495237963257,0.00011193066450228113,0.0008481090078991069,0.0012482964392590953,0.0005074231207834602,89
0.0001858966334760603,0.00011184054415172365,0.0008493152864902976,0.0012520488088088105,0.000507927586164186,90
0.00018571485964029912,0.00011212813480425906,0.000846352835929662,0.0012456493591791096,0.00050794882309547,91
0.00018594308175697247,0.00011204140576083289,0.0008476220223364574,0.0012471014589462593,0.000506931334620718,92
0.00018577984778233442,0.00011196510071015203,0.0008479785003364659,0.0012496404551343482,0.0005073883637926488,93
0.00018572051613755823,0.00011189653919501743,0.0008471584394824798,0.0012456450909952448,0.0005067097690743501,94
0.00018568409440833616,0.00011212924631809931,0.0008481427382380255,0.0012490484662054182,0.0005079097274500793,95
0.00018575061129459154,0.00011231377072504164,0.0008482968925343078,0.0012492381771491545,0.0005072871610295498,96
0.00018574221454699917,0.00011221076724577368,0.0008485015299474437,0.001250627597082773,0.0005072427852863955,97
0.0001858388661253515,0.00011168285352506559,0.0008479383169362853,0.0012485197829959003,0.0005096069059016607,98
0.00018588423667055326,0.00011129427111822289,0.0008491651962099629,0.001249011112870114,0.0005084467614737219,99
0.0001857644741745959,0.00011128157440826479,0.0008477529507127471,0.0012482145743509983,0.0005080822545341501,100
0.00018563844253728217,0.00011201925385000563,0.0008467407943557084,0.0012455456981116883,0.0005087359458075152,101
0.00018573836664274992,0.00011225353522637574,0.0008473107476984606,0.0012470855024057234,0.0005072344947688729,102
0.00018580621271019506,0.00011159878079647606,0.0008477480208681534,0.001246474621840285,0.0005078341153513761,103
0.00018572964495989678,0.0001118365836057248,0.0008486409313597991,0.0012518074001189833,0.000507324705407875,104
0.00018581474599114114,0.00011196352240864863,0.0008483587968329259,0.0012488510105487212,0.0005072463363075193,105
0.00018577767809101062,0.00011198888762701834,0.0008485652357942914,0.0012503140727551183,0.000506463091508598,106
0.0001857922301313588,0.00011207866741117835,0.0008485682264372607,0.001248348267379569,0.0005055812441957926,107
0.0001858734842720528,0.00011210174351639686,0.0008486932317303824,0.0012493194572524725,0.0005076866058833795,108
0.000185735610332789,0.00011200709252449378,0.0008482932482335243,0.0012483041724075583,0.0005075416031850691,109
0.00018572200943962864,0.00011169532774547172,0.000846551766258905,0.0012448094558173564,0.0005058978005689617,110
0.0001858208988093705,0.00011180911524598516,0.0008479810674099398,0.0012505894945334646,0.0005072636150618976,111
0.0001857285452759842,0.00011154379070035958,0.0008484756116507936,0.0012510682328013352,0.0005080975514691782,112
0.0001857751061670168,0.00011200159270175064,0.0008487472567128794,0.0012490987313635588,0.0005077613892701354,113
0.00018579412325305544,0.00011228207885568539,0.0008480859194162348,0.0012488738843603412,0.0005084565385186079,114
0.0001856692617948821,0.0001116552048830558,0.0008477742997412374,0.001250582382081894,0.0005077262579099262,115
0.00018567951495555385,0.00011174468781448852,0.0008466829382053297,0.0012462405107877882,0.0005064657671400654,116
0.00018585469088526157,0.00011203733210585158,0.0008490773846511754,0.001251101545579811,0.0005081785981176079,117
0.00018594002091325087,0.00011220514717547652,0.0008487406707589461,0.0012510472321053381,0.000507803469540631,118
0.00018573173511331935,0.0001118827715470417,0.0008486688866190813,0.0012523353875739797,0.0005092388987496064,119
0.00018597877445345143,0.00011199128398370395,0.000849330046403082,0.0012497258435407146,0.0005099257210164801,120
0.00018577303242629575,0.00011238769518840269,0.0008480783043502574,0.0012496980274132737,0.0005066823597722943,121
0.00018588325150778435,0.00011200644364472836,0.0008492494684026222,0.001253261030646852,0.0005080416295281731,122
0.00018576276340916917,0.00011150065715264786,0.0008479841904577116,0.0012474228012424205,0.0005077823913041989,123
0.00018579009971312442,0.00011177412933697565,0.0008480909117509829,0.0012487899613200628,0.0005069969825229235,124
0.00018582997867637647,0.00011163848771545779,0.0008468749484030846,0.0012468202415143105,0.000506768288531954,125
0.0001858505976681482,0.00011185468581315962,0.0008483700014372383,0.0012505739293718593,0.0005075954017847319,126
