face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
2698,1355,515,911,1.2930621236216158e-06,9.442504480427139e-07,3.689177531234405e-08,1.2107576867127845e-16
2699,11,475,1499,1.2342564287752455e-06,1.7927421927476308e-06,7.350761513425127e-08,1.0946278359939614e-16
2700,475,911,2092,1.2907440697255884e-06,1.0123985513362483e-06,1.2244316826008007e-07,1.0775316299301056e-16
2701,475,1010,1499,9.741229552586837e-07,1.8139039531143394e-06,1.3245391237101465e-07,1.0216487529359453e-16
2702,1010,475,2092,4.965714867147822e-07,6.417737236595123e-07,4.303789162306571e-08,1.0294630720889747e-16
2703,509,978,262,4.942250565949344e-06,5.154314950042833e-06,3.968554647165666e-07,9.605154933428671e-17
2704,438,978,292,4.740453580399771e-06,4.912859531480623e-06,1.0279898671654136e-07,9.793977980866324e-17
2705,262,978,438,7.37201199744379e-07,1.8072649541497291e-06,3.068466655271774e-07,9.157877977873325e-17
2706,978,509,1533,1.5520824901346506e-06,2.114112901768628e-06,3.1777849571392693e-07,1.0152551952997979e-16
2707,292,978,2089,2.9737709539713983e-06,4.210961059332293e-06,8.760239192844275e-07,8.824644041227636e-17
2708,978,1533,2089,2.8689207033254563e-06,4.383921571408801e-06,4.160079132297123e-07,9.749637368844836e-17
2709,1992,249,1356,3.2852869324415995e-06,3.6112935861240288e-06,7.43641575780876e-08,4.4567029262342473e-17
2710,249,2021,1356,3.0010685945390507e-06,3.993045532209122e-06,2.788894302649931e-07,4.439758235184426e-17
2711,249,860,2021,7.414265422745704e-06,7.717752005780722e-06,2.4909856433511975e-07,4.8101103215101055e-17
2712,249,1992,944,4.068472140556325e-06,4.617915757752358e-06,8.894884980403743e-08,4.308992005434193e-17
2713,337,249,944,1.8487506527991694e-05,1.5255660112652708e-05,3.667352587815516e-07,5.017833014156071e-17
2714,249,337,860,1.9683659932036055e-05,1.5746241731618586e-05,3.692085923211367e-07,4.401688024023573e-17
2715,1436,354,1029,2.3980263880808126e-06,1.8998074248255971e-06,7.390178143537338e-08,5.329487960073026e-17
2716,354,1436,456,4.805343904640239e-07,6.884751292362737e-07,1.2810772037992203e-07,5.3074303763467046e-17
2717,354,206,1029,3.0270489121244422e-06,2.0353047292995065e-06,1.719568670879501e-07,5.848631947752182e-17
2718,206,354,211,3.740132757379517e-06,3.942083256815489e-06,5.325175048642898e-07,5.770786108402507e-17
2719,354,1777,211,2.0741460155731714e-06,1.0222886839193324e-06,1.9109444373802618e-07,5.1959271298079913e-17
2720,1777,354,456,7.182397607609402e-07,6.523030458074455e-07,1.0884058212126581e-07,4.9940945961652813e-17
2721,347,981,1734,4.1633917870126114e-07,2.569801783188228e-07,5.151931311680492e-08,4.503264985507639e-17
2722,1777,981,347,5.176834681279907e-07,4.871577868091474e-07,1.4927580449029776e-08,5.1078190736776914e-17
2723,1734,981,1142,1.6165428539430156e-06,1.3759259059677621e-06,5.218650578529466e-08,3.8998878507168544e-17
2724,981,219,1142,1.4287551844880952e-06,1.2791769605767725e-06,9.771794039804328e-09,3.5867669293851147e-17
2725,981,1777,456,2.305270706257618e-07,5.113334922155369e-07,9.796792636140559e-08,4.863712516005938e-17
2726,219,981,456,1.761268503975205e-07,2.8831376392058247e-07,2.3765988297640534e-08,4.2874601515547576e-17
2727,1803,663,2019,4.801910761618308e-06,3.7578634454748178e-06,1.5192266332346475e-07,8.720388731118365e-17
2728,2019,663,1042,1.113485958863957e-06,1.3270473884486335e-06,3.912766689463619e-08,7.908782273159514e-17
2729,1359,663,1344,1.1389003165131574e-07,6.1062180381349e-08,1.0752487972858468e-07,7.161890116709256e-17
2730,663,1359,1042,1.228436255573195e-06,9.876000678308502e-07,6.437165573256085e-08,7.80965378378528e-17
2731,2004,593,717,2.188805540928565e-07,3.6544827976953333e-07,2.824287610928539e-08,5.692020317236266e-17
2732,593,663,1803,8.303922160536301e-07,6.437917817147077e-07,8.809051040828605e-08,7.887497796278483e-17
2733,593,2004,1344,2.029673973062602e-07,3.3371002654443104e-07,5.3149443855737e-08,6.102498395155767e-17
2734,663,593,1344,2.4685672623281946e-07,2.107118025536072e-07,1.277448450450261e-08,7.021326596986179e-17
2735,1504,1307,347,3.871694219283047e-06,3.974123863496886e-06,3.111348262142943e-08,5.464205670318583e-17
2736,1307,1777,347,5.873765691152543e-07,6.36883942927046e-07,1.654252268569713e-08,5.5441290509714785e-17
2737,1307,447,211,1.2618188978813386e-06,9.82115435168858e-07,1.9610275193700182e-08,6.572757897210116e-17
2738,1777,1307,211,1.1896081163376714e-06,1.0168811331258147e-06,1.1771152534166075e-08,6.173677005711396e-17
2739,582,1504,717,2.3308298160924307e-06,1.9450767908151164e-06,3.698474899018557e-08,6.362123499905415e-17
2740,593,582,717,1.191687117264307e-07,2.2019194431490708e-07,2.1657337193679445e-08,6.612056605425334e-17
2741,582,593,1803,3.6672944054803586e-07,6.329766441401836e-07,8.236769578110798e-08,7.2604462064753e-17
2742,820,1078,447,1.7024849384193309e-07,8.61354837378348e-08,1.5312434267765155e-08,6.989571151091494e-17
2743,1307,820,447,2.366154596788651e-07,1.2519195142533392e-07,3.1553415899941174e-08,6.855719380232483e-17
