face_id,i,j,k,face_energy_total,face_energy_exact,face_energy_coexact,face_energy_harmonic
84,861,1349,1333,4.99632919388093e-08,1.8514812594062677e-08,2.4529089472757565e-08,9.467261188005385e-19
85,1349,861,1302,5.445327953736566e-08,3.874052868709585e-11,5.171730663081518e-08,8.02693933520054e-19
86,48,1009,1125,2.771114469714703e-09,9.232880464248225e-11,3.6946172090771042e-09,6.6628134859743045e-19
87,159,1644,1931,6.873476130088955e-08,2.1138454446006194e-09,8.377127325333248e-08,1.7729254413132144e-19
88,691,159,439,7.990060549395382e-10,5.4184167293024205e-09,8.085041768541265e-09,3.6507495410880147e-19
89,1644,159,691,2.0506206781201144e-09,4.0249142854947565e-10,1.3238699845971303e-09,5.576805027863896e-19
90,1009,1083,1125,6.162042156524674e-09,1.827579066821669e-09,5.203818364702167e-09,4.710976171296951e-19
91,1083,925,1125,1.0470650891639849e-08,4.822297870239646e-09,3.9265487163554025e-09,3.312313393875815e-19
92,925,1083,527,2.8494481330452237e-08,1.5826772290888273e-09,2.3560278043845224e-08,1.7336541450741558e-19
93,1644,67,1931,1.3632368530194469e-08,8.511619636025499e-09,1.3089633931453861e-08,5.706712313883848e-19
94,1386,1759,1954,1.1937300921945864e-09,5.470284973997455e-10,5.155874130042692e-10,5.847046838320822e-19
95,5,2152,872,2.1297151808820377e-08,1.2544408971656417e-08,2.7125046337851256e-09,1.4649786799669444e-18
96,5,2161,2152,6.529614993162171e-08,4.067024085722305e-08,2.7101397059384924e-08,1.3253966718521821e-18
97,1589,1242,1547,1.1808212892399142e-08,8.842712264663456e-09,8.2913776905181e-09,4.460354337273542e-19
98,1604,1589,1547,9.96123533612242e-10,5.506743219279799e-09,7.733044258087033e-09,5.697872655029592e-19
99,1242,1589,1341,3.8702475482968076e-08,3.065244673342975e-08,8.387774239860688e-09,5.180347034161179e-19
100,493,1236,530,9.893055134508292e-09,2.324157528588815e-09,3.1846872588897233e-09,1.5556401798586412e-18
101,582,1236,493,1.63891393979183e-09,6.7907269910545526e-12,1.5088119269660574e-09,1.0120388384625833e-18
102,1236,872,530,5.616069458643757e-09,1.8608494939905116e-09,5.76907942046625e-09,2.138345683517676e-18
103,892,1108,913,8.59443655109237e-10,6.364082928024604e-10,2.4074006585290853e-09,6.953567637524557e-19
104,892,1386,1954,3.5892501333633194e-09,1.0829749969867375e-09,2.18682110130494e-09,5.675631740565349e-19
105,1694,2064,960,8.764445421680153e-10,1.6802520587460595e-09,1.4105064192014521e-09,6.354748916938262e-19
106,1445,2155,646,6.382637286907379e-09,3.6100181923283285e-09,7.263445267975465e-10,4.358440941692051e-19
107,1308,1156,1301,2.990579972082662e-08,8.870060548406e-09,1.2766061318798609e-08,6.90903501279048e-19
108,1207,1308,444,9.41527919738821e-10,6.455146451995201e-10,1.830154077436981e-09,3.9246945485145805e-19
109,1156,1207,791,2.5380983791876333e-09,2.678482929677296e-09,7.944425233984083e-10,5.64206535729867e-19
110,1207,1156,1308,3.879934263055799e-09,4.350102602110415e-09,9.434451276402316e-11,6.329183438394768e-19
111,441,970,1284,8.62761992475876e-10,2.291288377696466e-09,1.0824654682402297e-09,6.934671731878299e-19
112,441,1308,970,1.1817809141882124e-08,4.858023030897184e-09,8.378192360122083e-09,5.89834132529772e-19
113,638,441,1284,7.049303347597069e-10,3.1840006828137325e-09,1.984455787099066e-09,6.255735407297153e-19
114,1308,441,444,4.286356411455047e-09,8.354831311474929e-10,8.306605321390867e-09,6.074856839504952e-19
115,75,1445,646,2.265567415978743e-09,1.1844904692349815e-09,1.1691344564427456e-09,2.693204561168055e-19
116,90,75,646,3.5514286542609384e-09,1.17346411996591e-09,1.0744874700009856e-09,2.9853920745717516e-19
117,2067,395,1128,8.114788785963674e-09,1.630470130254131e-08,3.8050379009821096e-09,2.8909277209403845e-19
118,2147,2075,161,7.180872675006687e-08,1.3209857547400675e-08,5.860329697329475e-08,1.9869082871322698e-19
119,2075,1328,161,1.9993559942489887e-09,3.953843304262552e-09,9.852857963319376e-09,1.8526463053591068e-19
120,582,1107,61,1.0155973117042691e-08,6.635231668800783e-10,7.145857661978497e-09,1.0982339182200786e-18
121,1107,582,493,8.058538464423407e-09,9.21072435115406e-11,9.722609860369845e-09,1.1648540189442435e-18
122,2063,1107,493,1.891797648085372e-08,1.285136918775263e-09,1.7006826271789846e-08,1.2931810829564374e-18
123,2032,1909,589,9.973130844651146e-09,1.0617643041088085e-09,7.004361218980413e-09,4.939650438639861e-19
124,2032,1185,1216,3.8828966897803684e-08,5.555035690651584e-09,2.8076624528441998e-08,1.568942550686904e-18
125,270,2032,589,1.1316929456357208e-08,6.126375220489587e-09,1.0840008208000012e-08,3.6096812366533075e-19
126,1092,1947,1976,1.7991433550630646e-08,4.937584975316254e-09,5.763827465909516e-09,2.071924306200298e-19
127,1947,1092,304,1.6090363007476214e-08,2.5412722749298337e-09,1.2135204499775888e-08,3.213317963166335e-19
128,1357,2141,47,7.4102265337795135e-09,1.2620878107963829e-08,2.8801501484807466e-09,1.693626508047342e-19
129,1940,1805,1202,5.996219749770285e-09,1.6917016187502228e-09,5.023295715336462e-09,3.0108032789568157e-19
130,372,198,1546,2.241397547620059e-09,2.183737801082233e-09,2.029545300108525e-10,2.6886454128774388e-18
131,1341,198,372,2.0552658601661494e-08,1.4556506452197372e-08,5.239163333442204e-09,7.374692624630465e-19
132,1589,542,1341,2.879827404674386e-08,1.6578155814309468e-08,1.1237735084935492e-08,4.5478872490949995e-19
133,355,368,834,5.037312472456179e-10,6.797383569362601e-10,3.3275410985080254e-10,1.0253623735875614e-17
134,891,541,1160,7.0344584204672335e-09,5.080048971994649e-09,5.234183878182452e-09,2.1345779265700465e-17
135,1518,891,571,7.352342080676345e-10,6.677405447491219e-10,1.1701747915873704e-10,1.566198832521386e-18
136,2000,891,1160,2.81826774220773e-09,1.210801738090202e-10,2.0699219380523215e-09,7.65591024994575e-18
137,891,2000,571,5.872694346835029e-10,6.309727682397502e-10,6.839737876867211e-11,2.6728260229746288e-18
