face_id,i,j,k
419,1430,231,1576
420,231,1430,1477
421,2065,2048,1338
422,848,2048,351
423,2048,1816,1338
424,2048,848,1816
425,479,1967,1816
426,533,1224,1198
427,1224,479,1198
428,479,1224,1967
429,1389,1942,2125
430,515,1052,232
431,232,1052,1355
432,1052,188,1355
433,1052,79,1237
434,1634,515,232
435,79,237,518
436,1052,237,79
437,237,1052,515
438,237,1634,89
439,1634,237,515
440,1034,1556,318
441,533,1882,199
442,488,237,89
443,237,488,518
444,1634,826,89
445,1745,826,232
446,826,1634,232
447,758,1595,1269
448,1946,1513,14
449,130,279,1836
450,279,1081,1836
451,1279,1448,1219
452,1627,796,1015
453,100,796,1828
454,796,1742,1828
455,796,1627,1742
456,1015,796,1706
457,796,100,1706
458,209,1624,378
459,1553,1056,1600
460,1553,1015,1706
461,1015,1553,1600
462,1056,1553,1583
463,359,688,1583
464,1979,359,1706
465,1159,359,1979
466,359,1159,688
467,359,1553,1706
468,1553,359,1583
469,45,688,941
470,688,45,1583
471,393,1083,1009
472,527,1900,1931
473,1900,159,1931
474,442,1165,2061
475,744,1090,568
476,1383,290,863
477,1383,755,703
478,1383,703,1575
479,290,1383,1575
480,1383,863,1457
481,755,1383,1457
482,2108,1902,1325
483,290,2108,863
484,1902,2108,282
485,2108,290,282
486,2108,1878,863
487,1878,2108,1325
488,430,105,1498
489,94,2076,1827
490,722,885,568
491,1090,722,568
492,722,1090,1411
493,885,722,982
494,722,952,982
495,952,722,1411
496,1883,1396,43
497,1692,540,43
498,540,1883,43
499,1402,540,1498
500,1883,540,1402
501,2076,1180,2090
502,1180,1692,2090
503,430,1180,2076
504,1180,540,1692
505,1180,430,1498
506,540,1180,1498
507,174,2103,1858
508,2103,1602,1858
509,1602,2103,259
510,174,2042,615
511,884,2042,1259
512,1253,884,1259
513,1253,811,579
514,1794,1253,579
515,1253,1794,884
516,1119,1296,1382
517,1119,659,1296
518,849,694,1425
519,659,694,1296
520,1061,1722,1494
521,1722,1061,2040
522,1151,1722,2040
523,1151,739,1722
524,739,1151,2073
525,1345,485,145
526,1520,1205,269
527,972,448,269
528,448,972,306
529,901,1756,968
530,1223,1756,1259
531,1223,1754,1756
532,1754,1223,1858
533,1223,174,1858
534,2042,1223,1259
535,1223,2042,174
536,1538,1312,1886
537,1312,1538,1167
538,1848,1586,936
539,1122,412,483
540,1672,412,1373
541,1985,1538,566
542,1538,1985,1167
543,1326,1496,1373
544,776,1326,1373
545,647,374,776
546,647,412,1122
547,647,1122,1302
548,374,647,1302
549,647,776,1373
550,412,647,1373
551,374,570,227
552,570,374,861
553,896,861,1333
554,896,570,861
555,570,896,1503
556,695,177,1954
557,177,892,1954
558,177,364,1108
559,892,177,1108
560,1636,240,48
561,607,1636,48
562,1482,1636,607
563,240,1636,628
564,1829,1824,373
565,1998,802,1125
566,802,48,1125
567,802,607,48
568,2012,468,67
569,672,1998,925
570,468,672,925
571,672,2012,1989
572,2012,672,468
573,1377,1871,770
574,1499,1920,1366
575,1920,1377,1813
576,1871,1920,1499
577,1920,1871,1377
578,1920,1696,1366
579,1696,1920,1813
580,432,1519,115
581,1519,432,1848
582,2123,2015,532
583,2015,1215,532
584,1926,1503,1629
585,1215,1926,1629
586,364,1505,1108
587,1721,1321,460
588,1321,65,1913
589,931,1321,1913
590,1321,931,460
591,258,1384,191
592,1384,65,191
593,724,583,2126
594,2139,1426,770
595,1297,1768,358
596,1768,1297,215
597,1799,839,2175
598,839,1799,836
599,1130,839,836
600,839,1130,1391
601,150,1130,1796
602,1130,150,1391
603,136,1873,1527
604,692,136,1527
605,1873,136,1796
606,136,150,1796
607,83,509,1460
608,509,83,2123
609,513,707,1492
610,513,1492,358
611,1727,513,358
612,513,1727,69
613,753,1245,61
614,558,753,905
615,1569,1236,582
616,1245,1569,582
617,1236,1569,872
618,1569,5,872
619,1569,1245,5
620,2074,588,747
621,1798,1249,499
622,1798,1179,1249
623,2054,1841,364
624,177,2054,364
625,2054,177,695
626,577,2054,695
627,277,1361,625
628,1361,2064,1694
629,1344,434,1682
630,2155,1548,833
631,1548,2155,1445
632,1718,712,605
633,706,577,695
634,706,1176,144
635,1176,706,695
636,1924,2067,1128
637,1924,385,2067
638,1898,1924,1128
639,2147,1343,1300
640,385,1343,2147
641,903,606,1328
642,98,903,193
643,606,903,98
644,1909,564,589
645,1842,860,1807
646,926,860,1842
647,95,673,1483
648,98,673,395
649,673,95,395
650,1783,510,415
651,753,1367,905
652,1367,753,61
653,1107,1955,61
654,1955,1367,61
655,1367,1955,1303
656,135,915,340
657,340,915,1358
658,1124,915,1289
659,915,135,1289
660,340,1401,2057
661,1133,1401,340
662,1708,1401,1050
663,1401,1133,1050
664,507,1120,2046
665,1428,1120,507
666,1120,1947,304
667,1120,1428,1947
668,867,1046,1563
669,1046,867,2099
670,1489,1567,1012
671,1879,1086,1725
672,856,1879,1725
673,1879,1196,1976
674,1879,856,1196
675,1947,405,1976
676,405,1879,1976
677,1879,405,1086
678,1086,405,1050
679,405,1428,1050
680,1428,405,1947
681,856,272,1196
682,272,1693,1043
683,1762,717,2141
684,717,858,2141
685,858,717,183
686,717,1762,360
687,669,717,360
688,717,669,183
689,652,1321,1721
690,65,652,191
691,1321,652,65
692,1550,1092,1976
693,1196,1550,1976
694,258,1117,1043
695,1117,258,191
696,2087,1762,1357
697,1096,978,455
698,596,978,551
699,883,1738,1300
700,858,883,1300
701,883,1251,1738
702,883,858,183
703,883,183,450
704,1251,883,450
705,2064,1413,960
706,1362,931,1913
707,2078,1362,1913
708,362,2078,1913
709,65,362,1913
710,362,1384,2126
711,1384,362,65
712,1805,1743,460
713,1743,1721,460
714,1721,1743,360
715,1743,669,360
716,207,978,1096
717,551,207,1940
718,978,207,551
719,1140,805,2112
720,768,805,1140
721,198,805,1546
722,805,768,1546
723,1700,1251,450
724,1700,1096,455
725,1096,1700,450
726,1155,1700,455
727,1454,594,193
728,1454,1340,594
729,903,1454,193
730,1317,973,1679
731,973,1599,1679
732,2039,1084,423
733,2039,423,644
734,1352,487,2037
735,1084,1352,2037
736,2039,1352,1084
737,1352,2039,1029
738,2130,1502,82
739,2079,2085,1415
740,617,137,644
741,137,2039,644
742,137,221,1029
743,2039,137,1029
744,2079,172,1886
745,172,2079,221
746,137,172,221
747,172,137,617
748,1538,1860,566
749,1860,1538,1886
750,172,1860,1886
751,1860,172,617
752,590,1795,524
753,590,617,1795
754,590,1860,617
755,1860,590,566
756,2086,1845,519
757,2086,2106,1845
758,109,2106,1479
759,2106,2086,1479
760,1037,1711,1584
761,487,1711,1037
762,1352,462,487
763,2018,462,1029
764,462,1352,1029
765,13,1376,1250
766,13,1406,1376
767,1406,13,2006
768,225,2157,1531
769,2059,2157,1816
770,2157,225,1816
771,2144,1409,389
772,8,1936,389
773,1936,8,1290
774,1409,8,389
775,8,1409,547
776,1144,80,2006
777,80,1406,2006
778,1406,80,521
779,80,1275,521
780,1868,1771,1809
781,1645,1771,1432
782,1771,1868,1432
783,1275,912,1681
784,912,1645,1395
785,1681,912,1395
786,1398,2144,389
787,1432,1283,1842
788,1868,1283,1432
789,1154,1233,1809
790,1936,1233,389
791,1233,1398,389
792,1398,1233,1154
793,1582,1068,1157
794,1068,1582,257
795,414,1582,1157
796,1656,1666,2051
797,1145,1665,1984
798,1665,1502,1984
799,1502,1665,82
800,52,1458,1168
801,1458,1145,1168
802,1458,569,1030
803,569,1458,52
804,1656,1416,1726
805,1416,1656,2051
806,231,1626,818
807,2048,1626,351
808,818,1626,2065
809,1626,2048,2065
810,812,1477,1951
811,812,231,1477
812,1626,812,351
813,812,1626,231
814,413,1803,428
815,1470,413,428
816,1544,852,1222
817,204,852,188
818,852,204,1222
819,188,852,1355
820,852,1544,1355
821,195,1544,1222
822,1355,195,147
823,1544,195,1355
824,2023,204,188
825,2023,188,1939
826,1719,2023,1939
827,2023,1719,1269
828,1668,397,1556
829,1034,1668,1556
830,1066,287,857
831,287,113,857
832,287,181,113
833,287,1659,181
834,1159,107,1622
835,107,1979,1659
836,107,1159,1979
837,741,595,1348
838,595,741,1174
839,651,1430,618
840,1430,651,1477
841,1416,1112,1726
842,1112,1416,1818
843,825,488,89
844,826,825,89
845,1647,595,1174
846,825,1647,1174
847,1647,825,826
848,1647,826,1745
849,483,835,162
850,1280,1653,1278
851,668,526,2158
852,1280,668,449
853,835,640,526
854,1081,1619,1836
855,24,1592,1946
856,1592,1513,1946
857,1592,1662,1513
858,1592,24,1018
859,1448,178,1219
860,696,882,849
861,694,882,1296
862,882,694,849
863,449,911,934
864,1737,209,378
865,1737,950,1410
866,286,1737,1410
867,1737,286,209
868,850,1181,941
869,850,1159,1622
870,688,850,941
871,1159,850,688
872,950,1910,1410
873,1181,1910,941
874,45,1200,1583
875,1200,1370,363
876,1056,1200,363
877,1200,1056,1583
878,393,55,1083
879,1083,55,527
880,55,1900,527
881,1900,55,1488
882,240,1230,1009
883,1230,393,1009
884,294,442,2061
885,693,1165,549
886,693,952,1411
887,693,1411,2061
888,1165,693,2061
889,1673,1256,982
890,952,1673,982
891,1673,1279,1219
892,1256,1673,1219
893,1411,721,2061
894,1090,721,1411
895,721,294,2061
896,9,755,1457
897,371,9,1457
898,918,1692,43
899,175,731,266
900,175,1067,2185
901,175,266,1067
902,831,2140,764
903,2,831,764
904,140,1263,1971
905,1263,338,1971
906,1823,2044,1394
907,799,1823,824
908,2049,430,2076
909,94,2049,2076
910,2049,94,1394
911,1831,94,1827
912,1831,1996,308
913,1831,1827,1996
914,1535,1831,308
915,94,792,1394
916,1823,792,824
917,792,1823,1394
918,1831,792,94
919,792,1535,824
920,792,1831,1535
921,1396,112,43
922,112,918,43
923,2103,1730,259
924,2042,474,615
925,474,2042,884
926,707,593,579
927,593,1794,579
928,1349,658,1333
929,658,593,1333
930,593,658,1794
931,613,1610,953
932,1610,659,953
933,694,1610,1425
934,1610,694,659
935,1602,301,1858
936,301,1754,1858
937,2058,830,549
938,2058,1119,1382
939,208,2058,1382
940,2058,208,830
941,1165,1276,549
942,1276,2058,549
943,2058,1276,1119
944,1061,523,2040
945,1345,523,909
946,523,145,2040
947,523,1345,145
948,2159,2183,1494
949,2183,1061,1494
950,523,2183,909
951,2183,523,1061
952,1151,1440,2073
953,145,1440,2040
954,1440,1151,2040
955,19,484,1488
956,485,122,1346
957,1345,122,485
958,148,739,2073
959,148,1608,739
960,2120,1996,1102
961,1608,2120,1102
962,1617,1969,584
963,1214,1822,2175
964,256,1770,1353
965,1770,1424,1353
966,1291,1423,584
967,1969,1291,584
968,901,1070,1756
969,1253,1070,811
970,811,1070,458
971,1070,901,458
972,1756,1070,1259
973,1070,1253,1259
974,637,32,2168
975,32,1820,2168
976,1820,32,968
977,32,901,968
978,1825,121,1048
979,1124,1825,1048
980,1825,1124,1289
981,1312,1788,1886
982,2085,1788,1835
983,1788,2079,1886
984,1788,2085,2079
985,1534,1848,936
986,1534,1519,1848
987,1519,1534,334
988,139,121,1167
989,1985,139,1167
990,329,1495,2100
991,2100,1495,524
992,590,1495,566
993,1495,590,524
994,678,329,963
995,678,1985,566
996,1495,678,566
997,678,1495,329
998,329,1218,963
999,1326,1218,1496
1000,570,1814,227
1001,1814,1926,1616
1002,1814,570,1503
1003,1926,1814,1503
1004,1503,1712,1629
1005,896,1712,1503
1006,1176,1980,144
1007,1980,1176,1759
1008,1980,1759,1469
1009,2045,1980,1469
1010,1822,151,2175
1011,151,1799,2175
1012,151,1822,628
1013,2177,298,1360
1014,2192,1377,765
1015,1377,2192,1813
1016,2050,604,732
1017,2167,2050,373
1018,2167,802,1998
1019,878,2050,732
1020,878,1829,373
1021,2050,878,373
1022,1636,1414,628
1023,1414,1636,1482
1024,1414,151,628
1025,1975,1482,607
1026,802,797,607
1027,797,1975,607
1028,1975,797,1824
1029,2167,797,802
1030,1824,797,373
1031,797,2167,373
1032,682,1978,67
1033,1978,2012,67
1034,2012,1978,1989
1035,1978,604,1989
1036,604,1978,732
1037,730,1567,1358
1038,1567,730,1012
1039,915,730,1358
1040,730,915,1124
1041,1618,1917,1012
1042,1618,248,1917
1043,730,1618,1012
1044,1618,730,1124
1045,1618,1124,1048
1046,248,1618,1048
1047,432,2131,1917
1048,1917,2131,1012
1049,2131,1489,1012
1050,2131,432,115
1051,1554,432,1917
1052,248,1554,1917
1053,1554,1586,1848
1054,432,1554,1848
1055,1586,1554,2002
1056,1554,248,2002
1057,2015,2093,1215
1058,1534,2093,334
1059,60,2015,2123
1060,83,60,2123
1061,1082,611,2099
1062,766,801,1435
1063,1693,801,766
1064,1261,1505,364
1065,1261,1841,1284
1066,1841,1261,364
1067,1359,724,2126
1068,1384,1359,2126
1069,724,1359,398
1070,1359,1384,258
1071,1359,781,398
1072,781,1359,258
1073,1833,1585,1709
1074,1585,1499,1366
1075,1464,1585,1366
1076,1585,1464,1709
1077,2043,1833,1709
1078,2043,724,398
1079,1977,2043,398
1080,1833,2043,1977
1081,1585,1378,1499
1082,1378,1585,1833
1083,1484,583,1699
1084,362,1484,2078
1085,583,1484,2126
1086,1484,362,2126
1087,583,1609,1699
1088,1609,1505,1699
1089,1108,1609,913
1090,1505,1609,1108
1091,1871,2080,770
1092,2080,2139,770
1093,1426,1764,1527
1094,2139,1764,1426
1095,1527,1764,1460
1096,1764,83,1460
1097,975,1727,358
1098,1768,975,358
1099,975,1768,466
1100,365,215,211
1101,365,1768,215
1102,1768,365,466
1103,365,1424,466
1104,2192,508,2177
1105,508,2192,765
1106,1873,508,765
1107,508,1873,1796
1108,1408,1929,1995
1109,150,1408,1391
1110,2071,1408,1995
1111,1408,2071,1391
1112,136,1019,150
1113,1408,1019,1929
1114,1019,1408,150
1115,1019,136,692
1116,1523,513,69
1117,513,1523,707
1118,1907,753,558
1119,5,1907,2161
1120,1245,1907,5
1121,753,1907,1245
1122,2161,1907,1547
1123,1907,558,1547
1124,2074,1028,588
1125,2054,1625,1841
1126,1625,2054,577
1127,1841,1625,638
1128,638,1625,1182
1129,1361,1925,2064
1130,1925,1361,277
1131,921,1361,1694
1132,1150,921,1897
1133,921,1150,625
1134,1361,921,625
1135,1051,921,1694
1136,921,1051,1897
1137,1682,2136,1904
1138,1548,472,833
1139,472,1548,712
1140,1718,472,712
1141,472,1718,1344
1142,472,1682,833
1143,472,1344,1682
1144,1057,434,1344
1145,1718,1057,1344
1146,1057,1718,605
1147,2062,1057,605
1148,632,2045,1360
1149,648,2062,605
1150,1625,87,1182
1151,87,1625,577
1152,1870,1548,1445
1153,1548,1870,712
1154,87,844,347
1155,706,844,577
1156,844,87,577
1157,879,1924,1898
1158,1343,1918,1300
1159,2141,1918,47
1160,1918,858,1300
1161,858,1918,2141
1162,1632,614,492
1163,1660,453,1262
1164,2041,1751,457
1165,1246,1228,2107
1166,673,2149,1483
1167,2149,1783,1483
1168,2031,464,1240
1169,2031,1710,905
1170,1710,2031,1928
1171,2031,1240,1928
1172,464,733,293
1173,1955,943,1303
1174,384,1288,676
1175,1288,384,114
1176,1834,1288,114
1177,1288,1834,29
1178,510,1260,415
1179,1171,1532,680
1180,733,78,293
1181,236,270,589
1182,1401,1194,2057
1183,1194,1401,1708
1184,867,555,1489
1185,555,1567,1489
1186,1725,555,1563
1187,555,867,1563
1188,1201,867,1489
1189,1201,2131,115
1190,2131,1201,1489
1191,867,1201,2099
1192,1082,1201,115
1193,1201,1082,2099
1194,1086,795,1725
1195,795,555,1725
1196,555,795,1567
1197,1567,795,1358
1198,795,1133,1358
1199,795,1086,1133
1200,272,386,1196
1201,386,1550,1196
1202,1550,386,1515
1203,386,1117,1515
1204,386,272,1043
1205,1117,386,1043
1206,2102,856,1563
1207,2102,272,856
1208,1046,2102,1563
1209,272,2102,1693
1210,2102,801,1693
1211,801,2102,1046
1212,1550,1077,1092
1213,1077,573,1092
1214,573,1077,1357
1215,1077,2087,1357
1216,1077,1550,1515
1217,2087,1077,1515
1218,2087,1945,1762
1219,1762,1945,360
1220,1945,1721,360
1221,1945,652,1721
1222,978,25,455
1223,424,25,702
1224,25,596,702
1225,25,978,596
1226,1505,966,1699
1227,1261,966,1505
1228,1362,1661,931
1229,1932,1661,545
1230,1661,1932,931
1231,1661,277,545
1232,1661,1925,277
1233,1925,1661,1362
1234,754,207,1096
1235,754,1096,450
1236,183,754,450
1237,669,754,183
1238,149,388,198
1239,388,805,198
1240,805,388,2112
1241,1292,1155,455
1242,1292,424,1295
1243,25,1292,455
1244,1292,25,424
1245,700,149,542
1246,2075,1757,1328
1247,1757,670,171
1248,1650,700,542
1249,700,1650,171
1250,1340,1650,542
1251,1454,1650,1340
1252,1723,1631,545
1253,545,1631,1202
1254,1631,1317,1202
1255,1631,973,1317
1256,1599,243,268
1257,973,243,1599
1258,2113,1632,492
1259,2113,1485,1632
1260,346,1909,2032
1261,346,2032,1216
1262,245,2130,1018
1263,24,245,1018
1264,1795,245,524
1265,245,24,524
1266,279,734,1081
1267,1081,734,82
1268,734,2130,82
1269,2130,734,1018
1270,2130,750,1502
1271,423,750,644
1272,1502,750,423
1273,750,1795,644
1274,750,245,1795
1275,245,750,2130
1276,296,251,1835
1277,1845,251,296
1278,2106,251,1845
1279,2117,2086,519
1280,2057,2117,519
1281,1194,2117,2057
1282,2117,1194,567
1283,2086,1053,1479
1284,1053,2117,567
1285,2117,1053,2086
1286,503,109,1479
1287,93,507,2046
1288,462,1607,487
1289,1607,1711,487
1290,2085,1506,1415
1291,261,1990,101
1292,1990,261,1915
1293,503,1903,109
1294,1903,503,778
1295,2172,1475,2150
1296,1475,1766,2150
1297,1332,1475,1657
1298,1475,1332,1766
1299,1529,1171,680
1300,1766,1529,2150
1301,951,1470,428
1302,951,1930,1470
1303,951,309,1930
1304,309,951,1500
1305,328,1930,1250
1306,1930,328,1470
1307,491,1184,1109
1308,1376,1184,1250
1309,1184,328,1250
1310,328,1184,491
1311,1851,104,1531
1312,2157,1851,1531
1313,980,1409,2144
1314,1101,1863,926
1315,1863,1101,1290
1316,641,8,547
1317,8,641,1290
1318,641,1863,1290
1319,1863,641,27
1320,1620,314,1970
1321,847,1863,27
1322,847,860,926
1323,1863,847,926
1324,1771,394,1809
1325,1154,394,129
1326,394,1154,1809
1327,1283,116,1842
1328,116,1936,1290
1329,116,1101,1842
1330,1101,116,1290
1331,331,641,547
1332,641,331,27
1333,1442,2029,1065
1334,2029,897,874
1335,1442,897,2029
1336,677,1912,1305
1337,1305,1912,102
1338,1912,2172,102
1339,1912,677,1657
1340,1475,1912,1657
1341,1912,1475,2172
1342,671,1068,257
1343,671,1169,874
1344,1169,671,257
1345,897,671,874
1346,1068,671,1002
1347,671,897,1002
1348,1169,1528,874
1349,84,677,1305
1350,1528,84,1305
1351,84,1528,1169
1352,1536,1104,1543
1353,1104,1736,1543
1354,1736,189,1543
1355,76,414,1157
1356,1103,979,244
1357,1843,1103,244
1358,979,451,244
1359,414,653,854
1360,653,1103,854
1361,1103,653,979
1362,979,653,1877
1363,653,76,1877
1364,76,653,414
1365,1287,452,1584
1366,452,569,52
1367,452,1037,1584
1368,452,52,1037
1369,537,1843,244
1370,569,723,1030
1371,713,1656,1726
1372,2119,983,898
1373,2119,1665,1145
1374,1416,1010,1818
1375,1010,1536,1543
1376,1010,1416,2051
1377,1536,1010,2051
1378,437,1803,1784
1379,1803,437,428
1380,848,459,1816
1381,459,479,1816
1382,479,459,1198
1383,459,1281,1198
1384,572,1281,1951
1385,1967,994,2059
1386,377,994,1967
1387,1224,1598,1967
1388,1598,377,1967
1389,491,2174,2125
1390,2174,491,1109
1391,1572,195,1222
1392,1572,1763,1826
1393,44,2023,1269
1394,2023,44,204
1395,1170,1668,1034
1396,683,252,320
1397,252,683,857
1398,683,1066,857
1399,1740,1397,1986
