sample_id,flux_name,metric,region_a,region_b,median_a,median_b,median_ratio_a_over_b,mwu_p,perm_p
GSM_6433618,flux_tumor_stroma,frac_coexact,interface_like,other,0.0359726277066727,0.0855602785970737,0.4204360749697582,1.0,1.0
GSM_6433618,flux_tumor_stroma,frac_coexact,interface_like,stroma_enriched,0.0359726277066727,0.0275856020862861,1.3040363445449703,0.0016039207460946,0.0069930069930069
GSM_6433618,flux_tumor_stroma,frac_coexact,interface_like,tumor_enriched,0.0359726277066727,0.0583607302223459,0.6163841262715903,0.9999999978719242,1.0
GSM_6433618,flux_tumor_stroma,node_energy_coexact,immune_enriched,other,5.98682424741802e-08,7.316080099947213e-08,0.8183103746309742,0.7561212422202053,0.7552447552447552
GSM_6433618,flux_tumor_stroma,node_energy_coexact,immune_enriched,stroma_enriched,5.98682424741802e-08,9.278581020386416e-08,0.6452305836705076,0.961594789866699,0.951048951048951
GSM_6433618,flux_tumor_stroma,node_energy_coexact,immune_enriched,tumor_enriched,5.98682424741802e-08,1.5179715399211536e-07,0.3943963434076628,0.9993008384930072,0.998001998001998
GSM_6433618,flux_tumor_stroma,node_energy_coexact,interface_like,other,1.0133684189059992e-07,7.316080099947213e-08,1.385124827861454,4.029805168597096e-06,0.0009990009990009
GSM_6433618,flux_tumor_stroma,node_energy_coexact,interface_like,stroma_enriched,1.0133684189059992e-07,9.278581020386416e-08,1.092158829760153,0.1482194219760088,0.1948051948051948
GSM_6433618,flux_tumor_stroma,node_energy_coexact,interface_like,tumor_enriched,1.0133684189059992e-07,1.5179715399211536e-07,0.6675806444688914,0.998758673014336,0.998001998001998
GSM_6433619,flux_tumor_immune,frac_coexact,immune_enriched,other,0.6956943209464138,0.8094154805091346,0.8595021193674373,0.9773740061750168,0.919080919080919
GSM_6433619,flux_tumor_immune,frac_coexact,immune_enriched,stroma_enriched,0.6956943209464138,0.7773324228946386,0.894976589752657,0.9625771424650804,0.9370629370629372
GSM_6433619,flux_tumor_immune,frac_coexact,immune_enriched,tumor_enriched,0.6956943209464138,0.6505757635427591,1.069351734159229,0.1700806162148929,0.1798201798201798
GSM_6433619,flux_tumor_immune,frac_coexact,interface_like,other,0.7332572020575894,0.8094154805091346,0.9059095356026048,0.8708596361476132,0.9470529470529472
GSM_6433619,flux_tumor_immune,frac_coexact,interface_like,stroma_enriched,0.7332572020575894,0.7773324228946386,0.94329939220479,0.757773789584643,0.8511488511488512
GSM_6433619,flux_tumor_immune,frac_coexact,interface_like,tumor_enriched,0.7332572020575894,0.6505757635427591,1.127089638360615,3.8159838386584025e-05,0.0069930069930069
GSM_6433619,flux_tumor_immune,node_energy_coexact,immune_enriched,other,1.109125518188444e-08,6.191467267022245e-09,1.791377504482669,0.0023450205479462,0.0089910089910089
